Image_name,Genotype,Plant_number,laser,Count_Small,Total_area_Small,Avg_area_Small,Count_Giant,Total_area_Giant,Avg_area_Giant,Small.Giant_ratio,Giant.Small_ratio,Percent_Small_Cells,Total_area,Small_Giant_area_ratio,Percent_area_small,Percent_area_giant
Segmented_GiantCells_pAR308-Col-T1#17-10X-1A_Maximumintensityprojection.tif,pAR308,17,1A,953,32446,34.046,40,5886,147.15,23.825,0.041972718,0.959718026,38332,5.512402311,0.846446833,0.153553167
Segmented_GiantCells_pAR308-Col-T1#18-10X-1A_Maximumintensityprojection.tif,pAR308,18,1A,1050,37633,35.841,40,6514,162.85,26.25,0.038095238,0.963302752,44147,5.777249002,0.852447505,0.147552495
Segmented_GiantCells_pAR308-Col-T1#19-10X-1A_Maximumintensityprojection.tif,pAR308,19,1A,888,37580,42.32,36,6005,166.806,24.66666667,0.040540541,0.961038961,43585,6.258118235,0.862223242,0.137776758
Segmented_GiantCells_pAR308-Col-T1#2-10X-1A_Maximumintensityprojection.tif,pAR308,2,1A,882,32851,37.246,39,6336,162.462,22.61538462,0.044217687,0.957654723,39187,5.184816919,0.838313726,0.161686274
Segmented_GiantCells_pAR308-Col-T1#20-10X-1A_Maximumintensityprojection.tif,pAR308,20,1A,401,12183,30.382,13,2152,165.538,30.84615385,0.032418953,0.968599034,14335,5.661245353,0.849877921,0.150122079
Segmented_GiantCells_pAR308-Col-T1#21-10X-1A_Maximumintensityprojection.tif,pAR308,21,1A,726,23698,32.642,34,5506,161.941,21.35294118,0.046831956,0.955263158,29204,4.304031965,0.811464183,0.188535817
Segmented_GiantCells_pAR308-Col-T1#3-10X-1A_Maximumintensityprojection.tif,pAR308,3,1A,739,27637,37.398,36,4854,134.833,20.52777778,0.048714479,0.953548387,32491,5.693654718,0.850604783,0.149395217
Segmented_GiantCells_pAR308-Col-T1#4-10X-1A_Maximumintensityprojection.tif,pAR308,4,1A,947,39610,41.827,45,6850,152.222,21.04444444,0.047518479,0.954637097,46460,5.782481752,0.852561343,0.147438657
Segmented_GiantCells_pAR308-Col-T1#5-10X-1A_Maximumintensityprojection.tif,pAR308,5,1A,1336,53504,40.048,44,6646,151.045,30.36363636,0.032934132,0.968115942,60150,8.050556726,0.889509559,0.110490441
Segmented_GiantCells_pAR308-Col-T1#6-10X-1A_Maximumintensityprojection.tif,pAR308,6,1A,933,34304,36.767,45,7860,174.667,20.73333333,0.048231511,0.95398773,42164,4.36437659,0.813585049,0.186414951
Segmented_GiantCells_pAR308-Col-T1#7-10X-1A_Maximumintensityprojection.tif,pAR308,7,1A,1817,69016,37.983,51,6685,131.078,35.62745098,0.028068244,0.972698073,75701,10.32400898,0.911692052,0.088307948
Segmented_GiantCells_pAR308-Col-T1#8-10X-1A_Maximumintensityprojection.tif,pAR308,8,1A,796,29709,37.323,34,5157,151.676,23.41176471,0.042713568,0.959036145,34866,5.760907504,0.852090862,0.147909138
Segmented_GiantCells_pAR308-Col-T1#9-10X-1A_Maximumintensityprojection.tif,pAR308,9,1A,1076,48546,45.117,51,7507,147.196,21.09803922,0.04739777,0.954747116,56053,6.466764353,0.866073181,0.133926819
Segmented_GiantCells_pAR254-Col-T1#1-10X-1A_Maximumintensityprojection.tif,pAR254,1,1A,854,39541,46.301,29,5063,174.586,29.44827586,0.033957845,0.967157418,44604,7.809796563,0.886490001,0.113509999
Segmented_GiantCells_pAR254-Col-T1#10-10X-1A_Maximumintensityprojection.tif,pAR254,10,1A,392,11502,29.342,22,3967,180.318,17.81818182,0.056122449,0.946859903,15469,2.899420217,0.743551619,0.256448381
