Image_name,Genotype,Plant_number,laser,Cell_type,Count,Total_area,Avg_area
Segmented_GiantCells_pBR67-Col-T1#18-10X-400x_Maximum intensity projection.tif,pBR67,18,400x,Giant,0,0,NaN
Segmented_GiantCells_pBR67-Col-T1#4-10X-400x_Maximum intensity projection.tif,pBR67,4,400x,Giant,0,0,NaN
Segmented_GiantCells_pBR67-Col-T1#7-10X-400x_Maximum intensity projection.tif,pBR67,7,400x,Giant,1,58,58.000
Segmented_GiantCells_pBR67-Col-T1#9-10X-400x_Maximum intensity projection.tif,pBR67,9,400x,Giant,0,0,NaN
Segmented_SmallCells_pBR67-Col-T1#11-10X-400x_Maximum intensity projection.tif,pBR67,11,400x,Small,166,2485,14.970
Segmented_SmallCells_pBR67-Col-T1#12-10X-400x_Maximum intensity projection.tif,pBR67,12,400x,Small,55,903,16.418
Segmented_SmallCells_pBR67-Col-T1#13-10X-404x_Maximum intensity projection.tif,pBR67,13,404x,Small,59,768,13.017
Segmented_SmallCells_pBR67-Col-T1#17-10X-170x_Maximum intensity projection.tif,pBR67,17,170x,Small,332,7600,22.892
Segmented_SmallCells_pBR67-Col-T1#18-10X-400x_Maximum intensity projection.tif,pBR67,18,400x,Small,14,133,9.500
Segmented_SmallCells_pBR67-Col-T1#4-10X-400x_Maximum intensity projection.tif,pBR67,4,400x,Small,15,234,15.600
Segmented_SmallCells_pBR67-Col-T1#7-10X-400x_Maximum intensity projection.tif,pBR67,7,400x,Small,18,267,14.833
Segmented_SmallCells_pBR67-Col-T1#9-10X-400x_Maximum intensity projection.tif,pBR67,9,400x,Small,13,276,21.231
Segmented_GiantCells_pBR67-Col-T1#1-10X-400x_Maximum intensity projection.tif,pBR67,1,400x,Giant,0,0,NaN
Segmented_GiantCells_pBR67-Col-T1#10-10X-400x_Maximum intensity projection.tif,pBR67,10,400x,Giant,0,0,NaN
Segmented_GiantCells_pBR67-Col-T1#14-10X-400x_Maximum intensity projection.tif,pBR67,14,400x,Giant,0,0,NaN
Segmented_GiantCells_pBR67-Col-T1#15-10X-400x_Maximum intensity projection.tif,pBR67,15,400x,Giant,0,0,NaN
Segmented_GiantCells_pBR67-Col-T1#16-10X-120x_Maximum intensity projection.tif,pBR67,16,120x,Giant,1,129,129.000
Segmented_GiantCells_pBR67-Col-T1#19-10X-400x_Maximum intensity projection.tif,pBR67,19,400x,Giant,1,86,86.000
Segmented_GiantCells_pBR67-Col-T1#2-10X-400x_Maximum intensity projection.tif,pBR67,2,400x,Giant,0,0,NaN
Segmented_GiantCells_pBR67-Col-T1#20-10X-400x_Maximum intensity projection.tif,pBR67,20,400x,Giant,0,0,NaN
Segmented_GiantCells_pBR67-Col-T1#21-10X-400x_Maximum intensity projection.tif,pBR67,21,400x,Giant,0,0,NaN
Segmented_GiantCells_pBR67-Col-T1#3-10X-400x_Maximum intensity projection.tif,pBR67,3,400x,Giant,1,95,95.000
Segmented_GiantCells_pBR67-Col-T1#6-10X-400x_Maximum intensity projection.tif,pBR67,6,400x,Giant,0,0,NaN
Segmented_GiantCells_pBR67-Col-T1#8-10X-400x_Maximum intensity projection.tif,pBR67,8,400x,Giant,0,0,NaN
Segmented_SmallCells_pBR67-Col-T1#1-10X-400x_Maximum intensity projection.tif,pBR67,1,400x,Small,13,182,14.000
Segmented_SmallCells_pBR67-Col-T1#10-10X-400x_Maximum intensity projection.tif,pBR67,10,400x,Small,17,279,16.412
Segmented_SmallCells_pBR67-Col-T1#14-10X-400x_Maximum intensity projection.tif,pBR67,14,400x,Small,23,336,14.609
Segmented_SmallCells_pBR67-Col-T1#15-10X-400x_Maximum intensity projection.tif,pBR67,15,400x,Small,25,271,10.840
Segmented_SmallCells_pBR67-Col-T1#16-10X-120x_Maximum intensity projection.tif,pBR67,16,120x,Small,23,264,11.478
Segmented_SmallCells_pBR67-Col-T1#19-10X-400x_Maximum intensity projection.tif,pBR67,19,400x,Small,12,194,16.167
Segmented_SmallCells_pBR67-Col-T1#2-10X-400x_Maximum intensity projection.tif,pBR67,2,400x,Small,19,224,11.789
Segmented_SmallCells_pBR67-Col-T1#20-10X-400x_Maximum intensity projection.tif,pBR67,20,400x,Small,12,127,10.583
Segmented_SmallCells_pBR67-Col-T1#21-10X-400x_Maximum intensity projection.tif,pBR67,21,400x,Small,10,97,9.700
Segmented_SmallCells_pBR67-Col-T1#3-10X-400x_Maximum intensity projection.tif,pBR67,3,400x,Small,11,224,20.364
Segmented_SmallCells_pBR67-Col-T1#6-10X-400x_Maximum intensity projection.tif,pBR67,6,400x,Small,15,184,12.267
Segmented_SmallCells_pBR67-Col-T1#8-10X-400x_Maximum intensity projection.tif,pBR67,8,400x,Small,15,123,8.200
Segmented_GiantCells_pBR65-Col-T1#1-10X-350x_Maximum intensity projection.tif,pBR65,1,350x,Giant,3,433,144.333
