Image_name,Genotype,Plant_number,laser,Cell_type,Count,Total_area,Avg_area
Segmented_SmallCells_pAR261-Col-T1#26-10X-1A_Maximumintensityprojection.tif,pAR261,26,1A,Small,522,18099,34.672
Segmented_SmallCells_pAR261-Col-T1#3-10X-1A_Maximumintensityprojection.tif,pAR261,3,1A,Small,724,24241,33.482
Segmented_SmallCells_pAR261-Col-T1#4-10X-1A_Maximumintensityprojection.tif,pAR261,4,1A,Small,682,26170,38.372
Segmented_SmallCells_pAR261-Col-T1#5-10X-1A_Maximumintensityprojection.tif,pAR261,5,1A,Small,761,32512,42.723
Segmented_SmallCells_pAR261-Col-T1#6-10X-1A_Maximumintensityprojection.tif,pAR261,6,1A,Small,414,14471,34.954
Segmented_SmallCells_pAR261-Col-T1#8-10X-1A_Maximumintensityprojection.tif,pAR261,8,1A,Small,733,29630,40.423
Segmented_GiantCells_pAR111-Col-T1#1-10X-1A_Maximumintensityprojection.tif,pAR111,1,1A,Giant,23,4035,175.435
Segmented_GiantCells_pAR111-Col-T1#10-10X-1A_Maximumintensityprojection.tif,pAR111,10,1A,Giant,12,1401,116.750
Segmented_GiantCells_pAR111-Col-T1#11-10X-1A_Maximumintensityprojection.tif,pAR111,11,1A,Giant,41,4166,101.610
Segmented_GiantCells_pAR111-Col-T1#12-10X-3A_Maximumintensityprojection.tif,pAR111,12,3A,Giant,20,3183,159.150
Segmented_GiantCells_pAR111-Col-T1#13-10X-1A_Maximumintensityprojection.tif,pAR111,13,1A,Giant,22,3171,144.136
Segmented_GiantCells_pAR111-Col-T1#14-10X-1A_Maximumintensityprojection.tif,pAR111,14,1A,Giant,12,1611,134.250
Segmented_GiantCells_pAR111-Col-T1#15-10X-1A_Maximumintensityprojection.tif,pAR111,15,1A,Giant,25,4121,164.840
Segmented_GiantCells_pAR111-Col-T1#16-10X-1A_Maximumintensityprojection.tif,pAR111,16,1A,Giant,29,3577,123.345
Segmented_GiantCells_pAR111-Col-T1#17-10X-1A_Maximumintensityprojection.tif,pAR111,17,1A,Giant,27,3250,120.370
Segmented_GiantCells_pAR111-Col-T1#18-10X-1A_Maximumintensityprojection.tif,pAR111,18,1A,Giant,40,4240,106.000
Segmented_GiantCells_pAR111-Col-T1#19-10X-1A_Maximumintensityprojection.tif,pAR111,19,1A,Giant,27,4055,150.185
Segmented_GiantCells_pAR111-Col-T1#2-10X-1A_Maximumintensityprojection.tif,pAR111,2,1A,Giant,22,3151,143.227
Segmented_GiantCells_pAR111-Col-T1#20-10X-1A_Maximumintensityprojection.tif,pAR111,20,1A,Giant,12,1211,100.917
Segmented_GiantCells_pAR111-Col-T1#21-10X-1A_Maximumintensityprojection.tif,pAR111,21,1A,Giant,23,3439,149.522
Segmented_GiantCells_pAR111-Col-T1#22-10X-1A_Maximumintensityprojection.tif,pAR111,22,1A,Giant,30,3822,127.400
Segmented_GiantCells_pAR111-Col-T1#23-10X-1A_Maximumintensityprojection.tif,pAR111,23,1A,Giant,27,2857,105.815
Segmented_GiantCells_pAR111-Col-T1#24-10X-1A_Maximumintensityprojection.tif,pAR111,24,1A,Giant,12,1093,91.083
Segmented_GiantCells_pAR111-Col-T1#3-10X-2A_Maximumintensityprojection.tif,pAR111,3,2A,Giant,17,2556,150.353
Segmented_GiantCells_pAR111-Col-T1#4-10X-2A_Maximumintensityprojection.tif,pAR111,4,2A,Giant,25,3403,136.120
Segmented_GiantCells_pAR111-Col-T1#5-10X-1A_Maximumintensityprojection.tif,pAR111,5,1A,Giant,8,917,114.625
Segmented_GiantCells_pAR111-Col-T1#6-10X-2A_Maximumintensityprojection.tif,pAR111,6,2A,Giant,23,3762,163.565
Segmented_GiantCells_pAR111-Col-T1#7-10X-1A_Maximumintensityprojection.tif,pAR111,7,1A,Giant,35,4303,122.943
Segmented_GiantCells_pAR111-Col-T1#8-10X-1A_Maximumintensityprojection.tif,pAR111,8,1A,Giant,24,3154,131.417
Segmented_GiantCells_pAR111-Col-T1#9-10X-1A_Maximumintensityprojection.tif,pAR111,9,1A,Giant,17,2373,139.588
Segmented_SmallCells_pAR111-Col-T1#1-10X-1A_Maximumintensityprojection.tif,pAR111,1,1A,Small,176,4898,27.830
Segmented_SmallCells_pAR111-Col-T1#10-10X-1A_Maximumintensityprojection.tif,pAR111,10,1A,Small,57,1500,26.316
Segmented_SmallCells_pAR111-Col-T1#11-10X-1A_Maximumintensityprojection.tif,pAR111,11,1A,Small,46,974,21.174
Segmented_SmallCells_pAR111-Col-T1#12-10X-3A_Maximumintensityprojection.tif,pAR111,12,3A,Small,58,1232,21.241
Segmented_SmallCells_pAR111-Col-T1#13-10X-1A_Maximumintensityprojection.tif,pAR111,13,1A,Small,177,4072,23.006
Segmented_SmallCells_pAR111-Col-T1#14-10X-1A_Maximumintensityprojection.tif,pAR111,14,1A,Small,49,1199,24.469
Segmented_SmallCells_pAR111-Col-T1#15-10X-1A_Maximumintensityprojection.tif,pAR111,15,1A,Small,34,1687,49.618
Segmented_SmallCells_pAR111-Col-T1#16-10X-1A_Maximumintensityprojection.tif,pAR111,16,1A,Small,27,570,21.111
Segmented_SmallCells_pAR111-Col-T1#17-10X-1A_Maximumintensityprojection.tif,pAR111,17,1A,Small,90,1641,18.233
Segmented_SmallCells_pAR111-Col-T1#18-10X-1A_Maximumintensityprojection.tif,pAR111,18,1A,Small,81,1926,23.778
Segmented_SmallCells_pAR111-Col-T1#19-10X-1A_Maximumintensityprojection.tif,pAR111,19,1A,Small,228,5872,25.754
Segmented_SmallCells_pAR111-Col-T1#2-10X-1A_Maximumintensityprojection.tif,pAR111,2,1A,Small,32,1468,45.875
Segmented_SmallCells_pAR111-Col-T1#20-10X-1A_Maximumintensityprojection.tif,pAR111,20,1A,Small,65,1142,17.569
Segmented_SmallCells_pAR111-Col-T1#21-10X-1A_Maximumintensityprojection.tif,pAR111,21,1A,Small,83,4223,50.880
Segmented_SmallCells_pAR111-Col-T1#22-10X-1A_Maximumintensityprojection.tif,pAR111,22,1A,Small,81,1410,17.407
Segmented_SmallCells_pAR111-Col-T1#23-10X-1A_Maximumintensityprojection.tif,pAR111,23,1A,Small,438,8547,19.514
Segmented_SmallCells_pAR111-Col-T1#24-10X-1A_Maximumintensityprojection.tif,pAR111,24,1A,Small,59,1496,25.356
Segmented_SmallCells_pAR111-Col-T1#3-10X-2A_Maximumintensityprojection.tif,pAR111,3,2A,Small,52,1908,36.692
Segmented_SmallCells_pAR111-Col-T1#4-10X-2A_Maximumintensityprojection.tif,pAR111,4,2A,Small,53,2102,39.660
Segmented_SmallCells_pAR111-Col-T1#5-10X-1A_Maximumintensityprojection.tif,pAR111,5,1A,Small,80,1587,19.837
Segmented_SmallCells_pAR111-Col-T1#6-10X-2A_Maximumintensityprojection.tif,pAR111,6,2A,Small,25,881,35.240
Segmented_SmallCells_pAR111-Col-T1#7-10X-1A_Maximumintensityprojection.tif,pAR111,7,1A,Small,94,1910,20.319
Segmented_SmallCells_pAR111-Col-T1#8-10X-1A_Maximumintensityprojection.tif,pAR111,8,1A,Small,251,7593,30.251
Segmented_SmallCells_pAR111-Col-T1#9-10X-1A_Maximumintensityprojection.tif,pAR111,9,1A,Small,81,2931,36.185
Segmented_GiantCells_pAR262-Col-T1#13-10X-1A_Maximumintensityprojection.tif,pAR262,13,1A,Giant,18,2953,164.056
Segmented_GiantCells_pAR262-Col-T1#14-10X-1A_Maximumintensityprojection.tif,pAR262,14,1A,Giant,30,4725,157.500
Segmented_GiantCells_pAR262-Col-T1#15-10X-1B_Maximumintensityprojection.tif,pAR262,15,1B,Giant,70,11929,170.414
Segmented_GiantCells_pAR262-Col-T1#2-10X-1A_Maximumintensityprojection.tif,pAR262,2,1A,Giant,33,5677,172.030
Segmented_GiantCells_pAR262-Col-T1#21-10X-1A_Maximumintensityprojection.tif,pAR262,21,1A,Giant,19,3038,159.895
Segmented_GiantCells_pAR262-Col-T1#22-10X-1A_Maximumintensityprojection.tif,pAR262,22,1A,Giant,40,6346,158.650
Segmented_GiantCells_pAR262-Col-T1#23-10X-1A_Maximumintensityprojection.tif,pAR262,23,1A,Giant,29,4852,167.310
Segmented_GiantCells_pAR262-Col-T1#24-10X-1A_Maximumintensityprojection.tif,pAR262,24,1A,Giant,40,7088,177.200
Segmented_GiantCells_pAR262-Col-T1#25-10X-1A_Maximumintensityprojection.tif,pAR262,25,1A,Giant,23,4022,174.870
Segmented_GiantCells_pAR262-Col-T1#27-10X-1A_Maximumintensityprojection.tif,pAR262,27,1A,Giant,33,5057,153.242
Segmented_GiantCells_pAR262-Col-T1#28-10X-2A_Maximumintensityprojection.tif,pAR262,28,2A,Giant,25,4289,171.560
Segmented_GiantCells_pAR262-Col-T1#3-10X-1A_Maximumintensityprojection.tif,pAR262,3,1A,Giant,40,4848,121.200
Segmented_GiantCells_pAR262-Col-T1#30-10X-1A_Maximumintensityprojection.tif,pAR262,30,1A,Giant,31,5142,165.871
Segmented_GiantCells_pAR262-Col-T1#31-10X-1A_Maximumintensityprojection.tif,pAR262,31,1A,Giant,29,5378,185.448
Segmented_GiantCells_pAR262-Col-T1#32-10X-1A_Maximumintensityprojection.tif,pAR262,32,1A,Giant,33,5649,171.182
Segmented_GiantCells_pAR262-Col-T1#4-10X-1A_Maximumintensityprojection.tif,pAR262,4,1A,Giant,26,4740,182.308
Segmented_GiantCells_pAR262-Col-T1#5-10X-1A_Maximumintensityprojection.tif,pAR262,5,1A,Giant,22,3159,143.591
Segmented_GiantCells_pAR262-Col-T1#6-10X-1A_Maximumintensityprojection.tif,pAR262,6,1A,Giant,30,5215,173.833
Segmented_GiantCells_pAR262-Col-T1#7-10X-1A_Maximumintensityprojection.tif,pAR262,7,1A,Giant,29,5172,178.345
Segmented_GiantCells_pAR262-Col-T1#9-10X-1A_Maximumintensityprojection.tif,pAR262,9,1A,Giant,21,3495,166.429
Segmented_SmallCells_pAR262-Col-T1#13-10X-1A_Maximumintensityprojection.tif,pAR262,13,1A,Small,142,4778,33.648
Segmented_SmallCells_pAR262-Col-T1#14-10X-1A_Maximumintensityprojection.tif,pAR262,14,1A,Small,338,8703,25.749
Segmented_SmallCells_pAR262-Col-T1#15-10X-1B_Maximumintensityprojection.tif,pAR262,15,1B,Small,493,15620,31.684
Segmented_SmallCells_pAR262-Col-T1#2-10X-1A_Maximumintensityprojection.tif,pAR262,2,1A,Small,414,13996,33.807
Segmented_SmallCells_pAR262-Col-T1#21-10X-1A_Maximumintensityprojection.tif,pAR262,21,1A,Small,124,4696,37.871
Segmented_SmallCells_pAR262-Col-T1#22-10X-1A_Maximumintensityprojection.tif,pAR262,22,1A,Small,267,7437,27.854
Segmented_SmallCells_pAR262-Col-T1#23-10X-1A_Maximumintensityprojection.tif,pAR262,23,1A,Small,484,15260,31.529
Segmented_SmallCells_pAR262-Col-T1#24-10X-1A_Maximumintensityprojection.tif,pAR262,24,1A,Small,372,12329,33.142
Segmented_SmallCells_pAR262-Col-T1#25-10X-1A_Maximumintensityprojection.tif,pAR262,25,1A,Small,151,4520,29.934
Segmented_SmallCells_pAR262-Col-T1#27-10X-1A_Maximumintensityprojection.tif,pAR262,27,1A,Small,219,6346,28.977
Segmented_SmallCells_pAR262-Col-T1#28-10X-2A_Maximumintensityprojection.tif,pAR262,28,2A,Small,105,2896,27.581
Segmented_SmallCells_pAR262-Col-T1#3-10X-1A_Maximumintensityprojection.tif,pAR262,3,1A,Small,288,6262,21.743
Segmented_SmallCells_pAR262-Col-T1#30-10X-1A_Maximumintensityprojection.tif,pAR262,30,1A,Small,149,5099,34.221
Segmented_SmallCells_pAR262-Col-T1#31-10X-1A_Maximumintensityprojection.tif,pAR262,31,1A,Small,167,4377,26.210
Segmented_SmallCells_pAR262-Col-T1#32-10X-1A_Maximumintensityprojection.tif,pAR262,32,1A,Small,168,4811,28.637
Segmented_SmallCells_pAR262-Col-T1#4-10X-1A_Maximumintensityprojection.tif,pAR262,4,1A,Small,273,8609,31.535
Segmented_SmallCells_pAR262-Col-T1#5-10X-1A_Maximumintensityprojection.tif,pAR262,5,1A,Small,104,2606,25.058
Segmented_SmallCells_pAR262-Col-T1#6-10X-1A_Maximumintensityprojection.tif,pAR262,6,1A,Small,242,7969,32.930
Segmented_SmallCells_pAR262-Col-T1#7-10X-1A_Maximumintensityprojection.tif,pAR262,7,1A,Small,225,6604,29.351
Segmented_SmallCells_pAR262-Col-T1#9-10X-1A_Maximumintensityprojection.tif,pAR262,9,1A,Small,161,4069,25.273
Segmented_GiantCells_pAR254-Col-T1#1-10X-1A_Maximumintensityprojection.tif,pAR254,1,1A,Giant,29,5063,174.586
Segmented_GiantCells_pAR254-Col-T1#10-10X-1A_Maximumintensityprojection.tif,pAR254,10,1A,Giant,22,3967,180.318
Segmented_GiantCells_pAR254-Col-T1#11-10X-1A.tif,pAR254,11,1A.tif,Giant,18,2612,145.111
Segmented_GiantCells_pAR254-Col-T1#12-10X-1A.tif,pAR254,12,1A.tif,Giant,31,4750,153.226
Segmented_GiantCells_pAR254-Col-T1#13-10X-1A_Maximumintensityprojection.tif,pAR254,13,1A,Giant,19,2625,138.158
Segmented_GiantCells_pAR254-Col-T1#14-10X-1A_Maximumintensityprojection.tif,pAR254,14,1A,Giant,31,4059,130.935
Segmented_GiantCells_pAR254-Col-T1#15-10X-1A_Maximumintensityprojection.tif,pAR254,15,1A,Giant,20,2989,149.450
Segmented_GiantCells_pAR254-Col-T1#16-10X-1A_Maximumintensityprojection.tif,pAR254,16,1A,Giant,20,3216,160.800
Segmented_GiantCells_pAR254-Col-T1#17-10X-1A_Maximumintensityprojection.tif,pAR254,17,1A,Giant,34,5602,164.765
Segmented_GiantCells_pAR254-Col-T1#18-10X-1A_Maximumintensityprojection.tif,pAR254,18,1A,Giant,25,3612,144.480
Segmented_GiantCells_pAR254-Col-T1#19-10X-1A_Maximumintensityprojection.tif,pAR254,19,1A,Giant,31,4990,160.968
Segmented_GiantCells_pAR254-Col-T1#2-10X-1A_Maximumintensityprojection.tif,pAR254,2,1A,Giant,35,5765,164.714
Segmented_GiantCells_pAR254-Col-T1#20-10X-1A_Maximumintensityprojection.tif,pAR254,20,1A,Giant,20,2452,122.600
Segmented_GiantCells_pAR254-Col-T1#21-10X-1A_Maximumintensityprojection.tif,pAR254,21,1A,Giant,22,3652,166.000
Segmented_GiantCells_pAR254-Col-T1#22-10X-1A_Maximumintensityprojection.tif,pAR254,22,1A,Giant,24,4472,186.333
Segmented_GiantCells_pAR254-Col-T1#23-10X-1A_Maximumintensityprojection.tif,pAR254,23,1A,Giant,31,4997,161.194
Segmented_GiantCells_pAR254-Col-T1#24-10X-1A_Maximumintensityprojection.tif,pAR254,24,1A,Giant,23,3639,158.217
Segmented_GiantCells_pAR254-Col-T1#3-10X-1A_Maximumintensityprojection.tif,pAR254,3,1A,Giant,30,4789,159.633
Segmented_GiantCells_pAR254-Col-T1#4-10X-1A_Maximumintensityprojection.tif,pAR254,4,1A,Giant,30,5962,198.733
Segmented_GiantCells_pAR254-Col-T1#5-10X-1A_Maximumintensityprojection.tif,pAR254,5,1A,Giant,37,5828,157.514
Segmented_GiantCells_pAR254-Col-T1#6-10X-1A_Maximumintensityprojection.tif,pAR254,6,1A,Giant,34,5825,171.324
Segmented_GiantCells_pAR254-Col-T1#7-10X-1A_Maximumintensityprojection.tif,pAR254,7,1A,Giant,9,1552,172.444
Segmented_GiantCells_pAR254-Col-T1#8-10X-2A_Maximumintensityprojection.tif,pAR254,8,2A,Giant,34,5413,159.206
Segmented_GiantCells_pAR254-Col-T1#9-10X-2A_Maximumintensityprojection.tif,pAR254,9,2A,Giant,25,3943,157.720
Segmented_SmallCells_pAR254-Col-T1#1-10X-1A_Maximumintensityprojection.tif,pAR254,1,1A,Small,854,39541,46.301
Segmented_SmallCells_pAR254-Col-T1#10-10X-1A_Maximumintensityprojection.tif,pAR254,10,1A,Small,392,11502,29.342
Segmented_SmallCells_pAR254-Col-T1#11-10X-1A.tif,pAR254,11,1A.tif,Small,286,7667,26.808
Segmented_SmallCells_pAR254-Col-T1#12-10X-1A.tif,pAR254,12,1A.tif,Small,697,18441,26.458
Segmented_SmallCells_pAR254-Col-T1#13-10X-1A_Maximumintensityprojection.tif,pAR254,13,1A,Small,398,7241,18.193
Segmented_SmallCells_pAR254-Col-T1#14-10X-1A_Maximumintensityprojection.tif,pAR254,14,1A,Small,1006,28834,28.662
Segmented_SmallCells_pAR254-Col-T1#15-10X-1A_Maximumintensityprojection.tif,pAR254,15,1A,Small,617,16922,27.426
Segmented_SmallCells_pAR254-Col-T1#16-10X-1A_Maximumintensityprojection.tif,pAR254,16,1A,Small,423,10912,25.797
Segmented_SmallCells_pAR254-Col-T1#17-10X-1A_Maximumintensityprojection.tif,pAR254,17,1A,Small,522,19412,37.188
Segmented_SmallCells_pAR254-Col-T1#18-10X-1A_Maximumintensityprojection.tif,pAR254,18,1A,Small,607,18340,30.214
Segmented_SmallCells_pAR254-Col-T1#19-10X-1A_Maximumintensityprojection.tif,pAR254,19,1A,Small,532,18209,34.227
Segmented_SmallCells_pAR254-Col-T1#2-10X-1A_Maximumintensityprojection.tif,pAR254,2,1A,Small,587,20121,34.278
Segmented_SmallCells_pAR254-Col-T1#20-10X-1A_Maximumintensityprojection.tif,pAR254,20,1A,Small,234,4251,18.167
Segmented_SmallCells_pAR254-Col-T1#21-10X-1A_Maximumintensityprojection.tif,pAR254,21,1A,Small,338,9920,29.349
Segmented_SmallCells_pAR254-Col-T1#22-10X-1A_Maximumintensityprojection.tif,pAR254,22,1A,Small,329,9427,28.653
Segmented_SmallCells_pAR254-Col-T1#23-10X-1A_Maximumintensityprojection.tif,pAR254,23,1A,Small,547,16448,30.069
Segmented_SmallCells_pAR254-Col-T1#24-10X-1A_Maximumintensityprojection.tif,pAR254,24,1A,Small,642,15314,23.854
Segmented_SmallCells_pAR254-Col-T1#3-10X-1A_Maximumintensityprojection.tif,pAR254,3,1A,Small,516,17471,33.859
Segmented_SmallCells_pAR254-Col-T1#4-10X-1A_Maximumintensityprojection.tif,pAR254,4,1A,Small,626,20715,33.091
Segmented_SmallCells_pAR254-Col-T1#5-10X-1A_Maximumintensityprojection.tif,pAR254,5,1A,Small,955,31824,33.324
Segmented_SmallCells_pAR254-Col-T1#6-10X-1A_Maximumintensityprojection.tif,pAR254,6,1A,Small,419,13966,33.332
Segmented_SmallCells_pAR254-Col-T1#7-10X-1A_Maximumintensityprojection.tif,pAR254,7,1A,Small,213,6679,31.357
Segmented_SmallCells_pAR254-Col-T1#8-10X-2A_Maximumintensityprojection.tif,pAR254,8,2A,Small,674,22263,33.031
Segmented_SmallCells_pAR254-Col-T1#9-10X-2A_Maximumintensityprojection.tif,pAR254,9,2A,Small,497,13727,27.620
Segmented_GiantCells_pAR257-Col-T1#1-10X-1A_Maximumintensityprojection.tif,pAR257,1,1A,Giant,36,4183,116.194
Segmented_GiantCells_pAR257-Col-T1#10-10X-1A_Maximumintensityprojection.tif,pAR257,10,1A,Giant,42,6383,151.976
Segmented_GiantCells_pAR257-Col-T1#11-10X-1A_Maximumintensityprojection.tif,pAR257,11,1A,Giant,16,2276,142.250
Segmented_GiantCells_pAR257-Col-T1#12-10X-1A_Maximumintensityprojection.tif,pAR257,12,1A,Giant,17,2519,148.176
Segmented_GiantCells_pAR257-Col-T1#13-10X-1A_Maximumintensityprojection.tif,pAR257,13,1A,Giant,30,3849,128.300
Segmented_GiantCells_pAR257-Col-T1#14-10X-1A_Maximumintensityprojection.tif,pAR257,14,1A,Giant,5,733,146.600
Segmented_GiantCells_pAR257-Col-T1#15-10X-1A_Maximumintensityprojection.tif,pAR257,15,1A,Giant,26,4080,156.923
Segmented_GiantCells_pAR257-Col-T1#16-10X-1A_Maximumintensityprojection.tif,pAR257,16,1A,Giant,26,3764,144.769
Segmented_GiantCells_pAR257-Col-T1#17-10X-1A_Maximumintensityprojection.tif,pAR257,17,1A,Giant,25,3858,154.320
Segmented_GiantCells_pAR257-Col-T1#19-10X-1A_Maximumintensityprojection.tif,pAR257,19,1A,Giant,36,5057,140.472
Segmented_GiantCells_pAR257-Col-T1#2-10X-1A_Maximumintensityprojection.tif,pAR257,2,1A,Giant,24,3325,138.542
Segmented_GiantCells_pAR257-Col-T1#20-10X-1A_Maximumintensityprojection.tif,pAR257,20,1A,Giant,27,3675,136.111
Segmented_GiantCells_pAR257-Col-T1#22-10X-1A_Maximumintensityprojection.tif,pAR257,22,1A,Giant,18,2187,121.500
Segmented_GiantCells_pAR257-Col-T1#23-10X-1A_Maximumintensityprojection.tif,pAR257,23,1A,Giant,37,5264,142.270
Segmented_GiantCells_pAR257-Col-T1#24-10X-1A_Maximumintensityprojection.tif,pAR257,24,1A,Giant,49,5948,121.388
Segmented_GiantCells_pAR257-Col-T1#25-10X-1B_Maximumintensityprojection.tif,pAR257,25,1B,Giant,43,6458,150.186
Segmented_GiantCells_pAR257-Col-T1#26-10X-1A_Maximumintensityprojection.tif,pAR257,26,1A,Giant,38,5873,154.553
Segmented_GiantCells_pAR257-Col-T1#4-10X-1A_Maximumintensityprojection.tif,pAR257,4,1A,Giant,25,3818,152.720
Segmented_GiantCells_pAR257-Col-T1#5-10X-1A_Maximumintensityprojection.tif,pAR257,5,1A,Giant,34,5256,154.588
Segmented_GiantCells_pAR257-Col-T1#6-10X-1A_Maximumintensityprojection.tif,pAR257,6,1A,Giant,44,7017,159.477
Segmented_GiantCells_pAR257-Col-T1#7-10X-1A_Maximumintensityprojection.tif,pAR257,7,1A,Giant,32,5351,167.219
Segmented_GiantCells_pAR257-Col-T1#8-10X-1A_Maximumintensityprojection.tif,pAR257,8,1A,Giant,48,6556,136.583
Segmented_GiantCells_pAR257-Col-T1#9-10X-1A_Maximumintensityprojection.tif,pAR257,9,1A,Giant,28,4062,145.071
Segmented_SmallCells_pAR257-Col-T1#1-10X-1A_Maximumintensityprojection.tif,pAR257,1,1A,Small,113,2127,18.823
Segmented_SmallCells_pAR257-Col-T1#10-10X-1A_Maximumintensityprojection.tif,pAR257,10,1A,Small,509,18444,36.236
Segmented_SmallCells_pAR257-Col-T1#11-10X-1A_Maximumintensityprojection.tif,pAR257,11,1A,Small,390,9909,25.408
Segmented_SmallCells_pAR257-Col-T1#12-10X-1A_Maximumintensityprojection.tif,pAR257,12,1A,Small,110,3105,28.227
Segmented_SmallCells_pAR257-Col-T1#13-10X-1A_Maximumintensityprojection.tif,pAR257,13,1A,Small,242,5214,21.545
Segmented_SmallCells_pAR257-Col-T1#14-10X-1A_Maximumintensityprojection.tif,pAR257,14,1A,Small,75,1463,19.507
Segmented_SmallCells_pAR257-Col-T1#15-10X-1A_Maximumintensityprojection.tif,pAR257,15,1A,Small,94,1574,16.745
Segmented_SmallCells_pAR257-Col-T1#16-10X-1A_Maximumintensityprojection.tif,pAR257,16,1A,Small,1017,22753,22.373
Segmented_SmallCells_pAR257-Col-T1#17-10X-1A_Maximumintensityprojection.tif,pAR257,17,1A,Small,380,10906,28.700
Segmented_SmallCells_pAR257-Col-T1#19-10X-1A_Maximumintensityprojection.tif,pAR257,19,1A,Small,435,10425,23.966
Segmented_SmallCells_pAR257-Col-T1#2-10X-1A_Maximumintensityprojection.tif,pAR257,2,1A,Small,531,13375,25.188
Segmented_SmallCells_pAR257-Col-T1#20-10X-1A_Maximumintensityprojection.tif,pAR257,20,1A,Small,84,1394,16.595
Segmented_SmallCells_pAR257-Col-T1#22-10X-1A_Maximumintensityprojection.tif,pAR257,22,1A,Small,30,359,11.967
Segmented_SmallCells_pAR257-Col-T1#23-10X-1A_Maximumintensityprojection.tif,pAR257,23,1A,Small,211,4672,22.142
Segmented_SmallCells_pAR257-Col-T1#24-10X-1A_Maximumintensityprojection.tif,pAR257,24,1A,Small,237,5123,21.616
Segmented_SmallCells_pAR257-Col-T1#25-10X-1B_Maximumintensityprojection.tif,pAR257,25,1B,Small,520,16286,31.319
Segmented_SmallCells_pAR257-Col-T1#26-10X-1A_Maximumintensityprojection.tif,pAR257,26,1A,Small,370,8700,23.514
Segmented_SmallCells_pAR257-Col-T1#4-10X-1A_Maximumintensityprojection.tif,pAR257,4,1A,Small,451,9809,21.749
Segmented_SmallCells_pAR257-Col-T1#5-10X-1A_Maximumintensityprojection.tif,pAR257,5,1A,Small,522,13515,25.891
Segmented_SmallCells_pAR257-Col-T1#6-10X-1A_Maximumintensityprojection.tif,pAR257,6,1A,Small,530,17267,32.579
Segmented_SmallCells_pAR257-Col-T1#7-10X-1A_Maximumintensityprojection.tif,pAR257,7,1A,Small,590,20740,35.153
Segmented_SmallCells_pAR257-Col-T1#8-10X-1A_Maximumintensityprojection.tif,pAR257,8,1A,Small,237,5169,21.810
Segmented_SmallCells_pAR257-Col-T1#9-10X-1A_Maximumintensityprojection.tif,pAR257,9,1A,Small,757,19090,25.218
Segmented_GiantCells_pAR307-Col-T1#1-10X-1A_Maximumintensityprojection.tif,pAR307,1,1A,Giant,40,6839,170.975
Segmented_GiantCells_pAR307-Col-T1#11-10X-1A_Maximumintensityprojection.tif,pAR307,11,1A,Giant,23,3344,145.391
Segmented_GiantCells_pAR307-Col-T1#12-10X-1A_Maximumintensityprojection.tif,pAR307,12,1A,Giant,35,4456,127.314
Segmented_GiantCells_pAR307-Col-T1#13-10X-1A_Maximumintensityprojection.tif,pAR307,13,1A,Giant,48,6082,126.708
Segmented_GiantCells_pAR307-Col-T1#14-10X-1A_Maximumintensityprojection.tif,pAR307,14,1A,Giant,61,6748,110.623
Segmented_GiantCells_pAR307-Col-T1#15-10X-1A_Maximumintensityprojection.tif,pAR307,15,1A,Giant,39,4768,122.256
Segmented_GiantCells_pAR307-Col-T1#16-10X-1A_Maximumintensityprojection.tif,pAR307,16,1A,Giant,55,5971,108.564
Segmented_GiantCells_pAR307-Col-T1#17-10X-1A_Maximumintensityprojection.tif,pAR307,17,1A,Giant,38,6255,164.605
Segmented_GiantCells_pAR307-Col-T1#18-10X-1A_Maximumintensityprojection.tif,pAR307,18,1A,Giant,43,7148,166.233
Segmented_GiantCells_pAR307-Col-T1#19-10X-1A_Maximumintensityprojection.tif,pAR307,19,1A,Giant,59,7139,121.000
Segmented_GiantCells_pAR307-Col-T1#2-10X-1A_Maximumintensityprojection.tif,pAR307,2,1A,Giant,33,5274,159.818
Segmented_GiantCells_pAR307-Col-T1#20-10X-1A_Maximumintensityprojection.tif,pAR307,20,1A,Giant,23,3450,150.000
Segmented_GiantCells_pAR307-Col-T1#21-10X-1A_Maximumintensityprojection.tif,pAR307,21,1A,Giant,25,3494,139.760
Segmented_GiantCells_pAR307-Col-T1#23-10X-1A_Maximumintensityprojection.tif,pAR307,23,1A,Giant,81,9350,115.432
Segmented_GiantCells_pAR307-Col-T1#3-10X-1A_Maximumintensityprojection.tif,pAR307,3,1A,Giant,26,3967,152.577
Segmented_GiantCells_pAR307-Col-T1#4-10X-1A_Maximumintensityprojection.tif,pAR307,4,1A,Giant,40,5316,132.900
Segmented_GiantCells_pAR307-Col-T1#5-10X-1A_Maximumintensityprojection.tif,pAR307,5,1A,Giant,50,6326,126.520
Segmented_GiantCells_pAR307-Col-T1#6-10X-1A_Maximumintensityprojection.tif,pAR307,6,1A,Giant,47,5135,109.255
Segmented_GiantCells_pAR307-Col-T1#9-10X-1A_Maximumintensityprojection.tif,pAR307,9,1A,Giant,69,10139,146.942
Segmented_SmallCells_pAR307-Col-T1#1-10X-1A_Maximumintensityprojection.tif,pAR307,1,1A,Small,903,31719,35.126
Segmented_SmallCells_pAR307-Col-T1#11-10X-1A_Maximumintensityprojection.tif,pAR307,11,1A,Small,399,13809,34.609
Segmented_SmallCells_pAR307-Col-T1#12-10X-1A_Maximumintensityprojection.tif,pAR307,12,1A,Small,471,14302,30.365
