Image_name,Genotype,Plant_number,Cell_type,Count,Total_area,Avg_area,Percent_area,Mean,laser
Segmented_GiantCells_pAR111-Col-T1#23-10X-1A_Maximumintensityprojection.tif,pAR111,23,Giant,27,2857,105.815,,,1A
Segmented_GiantCells_pAR111-Col-T1#24-10X-1A_Maximumintensityprojection.tif,pAR111,24,Giant,12,1093,91.083,,,1A
Segmented_GiantCells_pAR111-Col-T1#3-10X-2A_Maximumintensityprojection.tif,pAR111,3,Giant,17,2556,150.353,,,2A
Segmented_GiantCells_pAR111-Col-T1#4-10X-2A_Maximumintensityprojection.tif,pAR111,4,Giant,25,3403,136.12,,,2A
Segmented_GiantCells_pAR111-Col-T1#5-10X-1A_Maximumintensityprojection.tif,pAR111,5,Giant,8,917,114.625,,,1A
Segmented_GiantCells_pAR111-Col-T1#6-10X-2A_Maximumintensityprojection.tif,pAR111,6,Giant,23,3762,163.565,,,2A
Segmented_GiantCells_pAR111-Col-T1#7-10X-1A_Maximumintensityprojection.tif,pAR111,7,Giant,35,4303,122.943,,,1A
Segmented_GiantCells_pAR111-Col-T1#8-10X-1A_Maximumintensityprojection.tif,pAR111,8,Giant,24,3154,131.417,,,1A
Segmented_GiantCells_pAR111-Col-T1#9-10X-1A_Maximumintensityprojection.tif,pAR111,9,Giant,17,2373,139.588,,,1A
Segmented_SmallCells_pAR111-Col-T1#1-10X-1A_Maximumintensityprojection.tif,pAR111,1,Small,176,4898,27.83,,,1A
Segmented_SmallCells_pAR111-Col-T1#10-10X-1A_Maximumintensityprojection.tif,pAR111,10,Small,57,1500,26.316,,,1A
Segmented_SmallCells_pAR111-Col-T1#11-10X-1A_Maximumintensityprojection.tif,pAR111,11,Small,46,974,21.174,,,1A
Segmented_SmallCells_pAR111-Col-T1#12-10X-3A_Maximumintensityprojection.tif,pAR111,12,Small,58,1232,21.241,,,3A
Segmented_SmallCells_pAR111-Col-T1#13-10X-1A_Maximumintensityprojection.tif,pAR111,13,Small,177,4072,23.006,,,1A
Segmented_SmallCells_pAR111-Col-T1#14-10X-1A_Maximumintensityprojection.tif,pAR111,14,Small,49,1199,24.469,,,1A
Segmented_SmallCells_pAR111-Col-T1#15-10X-1A_Maximumintensityprojection.tif,pAR111,15,Small,34,1687,49.618,,,1A
Segmented_SmallCells_pAR111-Col-T1#16-10X-1A_Maximumintensityprojection.tif,pAR111,16,Small,27,570,21.111,,,1A
Segmented_SmallCells_pAR111-Col-T1#17-10X-1A_Maximumintensityprojection.tif,pAR111,17,Small,90,1641,18.233,,,1A
Segmented_SmallCells_pAR111-Col-T1#18-10X-1A_Maximumintensityprojection.tif,pAR111,18,Small,81,1926,23.778,,,1A
Segmented_SmallCells_pAR111-Col-T1#19-10X-1A_Maximumintensityprojection.tif,pAR111,19,Small,228,5872,25.754,,,1A
Segmented_SmallCells_pAR111-Col-T1#2-10X-1A_Maximumintensityprojection.tif,pAR111,2,Small,32,1468,45.875,,,1A
Segmented_SmallCells_pAR111-Col-T1#20-10X-1A_Maximumintensityprojection.tif,pAR111,20,Small,65,1142,17.569,,,1A
Segmented_SmallCells_pAR111-Col-T1#21-10X-1A_Maximumintensityprojection.tif,pAR111,21,Small,83,4223,50.88,,,1A
Segmented_SmallCells_pAR111-Col-T1#22-10X-1A_Maximumintensityprojection.tif,pAR111,22,Small,81,1410,17.407,,,1A
Segmented_SmallCells_pAR111-Col-T1#23-10X-1A_Maximumintensityprojection.tif,pAR111,23,Small,438,8547,19.514,,,1A
Segmented_SmallCells_pAR111-Col-T1#24-10X-1A_Maximumintensityprojection.tif,pAR111,24,Small,59,1496,25.356,,,1A
Segmented_SmallCells_pAR111-Col-T1#3-10X-2A_Maximumintensityprojection.tif,pAR111,3,Small,52,1908,36.692,,,2A
Segmented_SmallCells_pAR111-Col-T1#4-10X-2A_Maximumintensityprojection.tif,pAR111,4,Small,53,2102,39.66,,,2A
Segmented_SmallCells_pAR111-Col-T1#5-10X-1A_Maximumintensityprojection.tif,pAR111,5,Small,80,1587,19.837,,,1A
Segmented_SmallCells_pAR111-Col-T1#6-10X-2A_Maximumintensityprojection.tif,pAR111,6,Small,25,881,35.24,,,2A
Segmented_SmallCells_pAR111-Col-T1#7-10X-1A_Maximumintensityprojection.tif,pAR111,7,Small,94,1910,20.319,,,1A
Segmented_SmallCells_pAR111-Col-T1#8-10X-1A_Maximumintensityprojection.tif,pAR111,8,Small,251,7593,30.251,,,1A
Segmented_SmallCells_pAR111-Col-T1#9-10X-1A_Maximumintensityprojection.tif,pAR111,9,Small,81,2931,36.185,,,1A
Segmented_GiantCells_pAR262-Col-T1#13-10X-1A_Maximumintensityprojection.tif,pAR262,13,Giant,18,2953,164.056,,,1A
Segmented_GiantCells_pAR262-Col-T1#14-10X-1A_Maximumintensityprojection.tif,pAR262,14,Giant,30,4725,157.5,,,1A
Segmented_GiantCells_pAR262-Col-T1#15-10X-1B_Maximumintensityprojection.tif,pAR262,15,Giant,70,11929,170.414,,,1B
Segmented_GiantCells_pAR262-Col-T1#2-10X-1A_Maximumintensityprojection.tif,pAR262,2,Giant,33,5677,172.03,,,1A
Segmented_GiantCells_pAR262-Col-T1#21-10X-1A_Maximumintensityprojection.tif,pAR262,21,Giant,19,3038,159.895,,,1A
Segmented_GiantCells_pAR262-Col-T1#22-10X-1A_Maximumintensityprojection.tif,pAR262,22,Giant,40,6346,158.65,,,1A
Segmented_GiantCells_pAR262-Col-T1#23-10X-1A_Maximumintensityprojection.tif,pAR262,23,Giant,29,4852,167.31,,,1A
Segmented_GiantCells_pAR262-Col-T1#24-10X-1A_Maximumintensityprojection.tif,pAR262,24,Giant,40,7088,177.2,,,1A
Segmented_GiantCells_pAR262-Col-T1#25-10X-1A_Maximumintensityprojection.tif,pAR262,25,Giant,23,4022,174.87,,,1A
Segmented_GiantCells_pAR262-Col-T1#27-10X-1A_Maximumintensityprojection.tif,pAR262,27,Giant,33,5057,153.242,,,1A
Segmented_GiantCells_pAR262-Col-T1#28-10X-2A_Maximumintensityprojection.tif,pAR262,28,Giant,25,4289,171.56,,,2A
Segmented_GiantCells_pAR262-Col-T1#3-10X-1A_Maximumintensityprojection.tif,pAR262,3,Giant,40,4848,121.2,,,1A
Segmented_GiantCells_pAR262-Col-T1#30-10X-1A_Maximumintensityprojection.tif,pAR262,30,Giant,31,5142,165.871,,,1A
Segmented_GiantCells_pAR262-Col-T1#31-10X-1A_Maximumintensityprojection.tif,pAR262,31,Giant,29,5378,185.448,,,1A
Segmented_GiantCells_pAR262-Col-T1#32-10X-1A_Maximumintensityprojection.tif,pAR262,32,Giant,33,5649,171.182,,,1A
Segmented_GiantCells_pAR262-Col-T1#4-10X-1A_Maximumintensityprojection.tif,pAR262,4,Giant,26,4740,182.308,,,1A
Segmented_GiantCells_pAR262-Col-T1#5-10X-1A_Maximumintensityprojection.tif,pAR262,5,Giant,22,3159,143.591,,,1A
Segmented_GiantCells_pAR262-Col-T1#6-10X-1A_Maximumintensityprojection.tif,pAR262,6,Giant,30,5215,173.833,,,1A
Segmented_GiantCells_pAR262-Col-T1#7-10X-1A_Maximumintensityprojection.tif,pAR262,7,Giant,29,5172,178.345,,,1A
Segmented_GiantCells_pAR262-Col-T1#9-10X-1A_Maximumintensityprojection.tif,pAR262,9,Giant,21,3495,166.429,,,1A
Segmented_SmallCells_pAR262-Col-T1#13-10X-1A_Maximumintensityprojection.tif,pAR262,13,Small,142,4778,33.648,,,1A
Segmented_SmallCells_pAR262-Col-T1#14-10X-1A_Maximumintensityprojection.tif,pAR262,14,Small,338,8703,25.749,,,1A
Segmented_SmallCells_pAR262-Col-T1#15-10X-1B_Maximumintensityprojection.tif,pAR262,15,Small,493,15620,31.684,,,1B
Segmented_SmallCells_pAR262-Col-T1#2-10X-1A_Maximumintensityprojection.tif,pAR262,2,Small,414,13996,33.807,,,1A
Segmented_SmallCells_pAR262-Col-T1#21-10X-1A_Maximumintensityprojection.tif,pAR262,21,Small,124,4696,37.871,,,1A
Segmented_SmallCells_pAR262-Col-T1#22-10X-1A_Maximumintensityprojection.tif,pAR262,22,Small,267,7437,27.854,,,1A
