Image_name,Genotype,Plant_number,Cell_type,Count,Total_area,Avg_area,Percent_area,Mean,laser
Segmented_SmallCells_pAR257-Col-T1#26-10X-1A_Maximumintensityprojection.tif,pAR257,26,Small,370,8700,23.514,,,1A
Segmented_SmallCells_pAR257-Col-T1#4-10X-1A_Maximumintensityprojection.tif,pAR257,4,Small,451,9809,21.749,,,1A
Segmented_SmallCells_pAR257-Col-T1#5-10X-1A_Maximumintensityprojection.tif,pAR257,5,Small,522,13515,25.891,,,1A
Segmented_SmallCells_pAR257-Col-T1#6-10X-1A_Maximumintensityprojection.tif,pAR257,6,Small,530,17267,32.579,,,1A
Segmented_SmallCells_pAR257-Col-T1#7-10X-1A_Maximumintensityprojection.tif,pAR257,7,Small,590,20740,35.153,,,1A
Segmented_SmallCells_pAR257-Col-T1#8-10X-1A_Maximumintensityprojection.tif,pAR257,8,Small,237,5169,21.81,,,1A
Segmented_SmallCells_pAR257-Col-T1#9-10X-1A_Maximumintensityprojection.tif,pAR257,9,Small,757,19090,25.218,,,1A
Segmented_GiantCells_pAR307-Col-T1#1-10X-1A_Maximumintensityprojection.tif,pAR307,1,Giant,40,6839,170.975,,,1A
Segmented_GiantCells_pAR307-Col-T1#11-10X-1A_Maximumintensityprojection.tif,pAR307,11,Giant,23,3344,145.391,,,1A
Segmented_GiantCells_pAR307-Col-T1#12-10X-1A_Maximumintensityprojection.tif,pAR307,12,Giant,35,4456,127.314,,,1A
Segmented_GiantCells_pAR307-Col-T1#13-10X-1A_Maximumintensityprojection.tif,pAR307,13,Giant,48,6082,126.708,,,1A
Segmented_GiantCells_pAR307-Col-T1#14-10X-1A_Maximumintensityprojection.tif,pAR307,14,Giant,61,6748,110.623,,,1A
Segmented_GiantCells_pAR307-Col-T1#15-10X-1A_Maximumintensityprojection.tif,pAR307,15,Giant,39,4768,122.256,,,1A
Segmented_GiantCells_pAR307-Col-T1#16-10X-1A_Maximumintensityprojection.tif,pAR307,16,Giant,55,5971,108.564,,,1A
Segmented_GiantCells_pAR307-Col-T1#17-10X-1A_Maximumintensityprojection.tif,pAR307,17,Giant,38,6255,164.605,,,1A
Segmented_GiantCells_pAR307-Col-T1#18-10X-1A_Maximumintensityprojection.tif,pAR307,18,Giant,43,7148,166.233,,,1A
Segmented_GiantCells_pAR307-Col-T1#19-10X-1A_Maximumintensityprojection.tif,pAR307,19,Giant,59,7139,121,,,1A
Segmented_GiantCells_pAR307-Col-T1#2-10X-1A_Maximumintensityprojection.tif,pAR307,2,Giant,33,5274,159.818,,,1A
Segmented_GiantCells_pAR307-Col-T1#20-10X-1A_Maximumintensityprojection.tif,pAR307,20,Giant,23,3450,150,,,1A
Segmented_GiantCells_pAR307-Col-T1#21-10X-1A_Maximumintensityprojection.tif,pAR307,21,Giant,25,3494,139.76,,,1A
Segmented_GiantCells_pAR307-Col-T1#23-10X-1A_Maximumintensityprojection.tif,pAR307,23,Giant,81,9350,115.432,,,1A
Segmented_GiantCells_pAR307-Col-T1#3-10X-1A_Maximumintensityprojection.tif,pAR307,3,Giant,26,3967,152.577,,,1A
Segmented_GiantCells_pAR307-Col-T1#4-10X-1A_Maximumintensityprojection.tif,pAR307,4,Giant,40,5316,132.9,,,1A
Segmented_GiantCells_pAR307-Col-T1#5-10X-1A_Maximumintensityprojection.tif,pAR307,5,Giant,50,6326,126.52,,,1A
Segmented_GiantCells_pAR307-Col-T1#6-10X-1A_Maximumintensityprojection.tif,pAR307,6,Giant,47,5135,109.255,,,1A
Segmented_GiantCells_pAR307-Col-T1#9-10X-1A_Maximumintensityprojection.tif,pAR307,9,Giant,69,10139,146.942,,,1A
Segmented_SmallCells_pAR307-Col-T1#1-10X-1A_Maximumintensityprojection.tif,pAR307,1,Small,903,31719,35.126,,,1A
Segmented_SmallCells_pAR307-Col-T1#11-10X-1A_Maximumintensityprojection.tif,pAR307,11,Small,399,13809,34.609,,,1A
Segmented_SmallCells_pAR307-Col-T1#12-10X-1A_Maximumintensityprojection.tif,pAR307,12,Small,471,14302,30.365,,,1A
Segmented_SmallCells_pAR307-Col-T1#13-10X-1A_Maximumintensityprojection.tif,pAR307,13,Small,451,12337,27.355,,,1A
Segmented_SmallCells_pAR307-Col-T1#14-10X-1A_Maximumintensityprojection.tif,pAR307,14,Small,691,21184,30.657,,,1A
Segmented_SmallCells_pAR307-Col-T1#15-10X-1A_Maximumintensityprojection.tif,pAR307,15,Small,483,13143,27.211,,,1A
Segmented_SmallCells_pAR307-Col-T1#16-10X-1A_Maximumintensityprojection.tif,pAR307,16,Small,331,8156,24.64,,,1A
Segmented_SmallCells_pAR307-Col-T1#17-10X-1A_Maximumintensityprojection.tif,pAR307,17,Small,498,16702,33.538,,,1A
Segmented_SmallCells_pAR307-Col-T1#18-10X-1A_Maximumintensityprojection.tif,pAR307,18,Small,582,20622,35.433,,,1A
Segmented_SmallCells_pAR307-Col-T1#19-10X-1A_Maximumintensityprojection.tif,pAR307,19,Small,830,34364,41.402,,,1A
Segmented_SmallCells_pAR307-Col-T1#2-10X-1A_Maximumintensityprojection.tif,pAR307,2,Small,1054,40242,38.18,,,1A
Segmented_SmallCells_pAR307-Col-T1#20-10X-1A_Maximumintensityprojection.tif,pAR307,20,Small,212,7298,34.425,,,1A
Segmented_SmallCells_pAR307-Col-T1#21-10X-1A_Maximumintensityprojection.tif,pAR307,21,Small,920,33039,35.912,,,1A
Segmented_SmallCells_pAR307-Col-T1#23-10X-1A_Maximumintensityprojection.tif,pAR307,23,Small,1024,41087,40.124,,,1A
Segmented_SmallCells_pAR307-Col-T1#3-10X-1A_Maximumintensityprojection.tif,pAR307,3,Small,911,28049,30.789,,,1A
Segmented_SmallCells_pAR307-Col-T1#4-10X-1A_Maximumintensityprojection.tif,pAR307,4,Small,1060,34535,32.58,,,1A
Segmented_SmallCells_pAR307-Col-T1#5-10X-1A_Maximumintensityprojection.tif,pAR307,5,Small,732,23104,31.563,,,1A
Segmented_SmallCells_pAR307-Col-T1#6-10X-1A_Maximumintensityprojection.tif,pAR307,6,Small,898,30411,33.865,,,1A
Segmented_SmallCells_pAR307-Col-T1#9-10X-1A_Maximumintensityprojection.tif,pAR307,9,Small,913,37466,41.036,,,1A
Segmented_GiantCells_pAR308-Col-T1#1-10X-1A_Maximumintensityprojection.tif,pAR308,1,Giant,33,5161,156.394,,,1A
Segmented_GiantCells_pAR308-Col-T1#10-10X-1A_Maximumintensityprojection.tif,pAR308,10,Giant,37,5844,157.946,,,1A
Segmented_GiantCells_pAR308-Col-T1#11-10X-1A_Maximumintensityprojection.tif,pAR308,11,Giant,38,5906,155.421,,,1A
Segmented_GiantCells_pAR308-Col-T1#12-10X-1A_Maximumintensityprojection.tif,pAR308,12,Giant,36,5817,161.583,,,1A
Segmented_GiantCells_pAR308-Col-T1#13-10X-1A_Maximumintensityprojection.tif,pAR308,13,Giant,27,4261,157.815,,,1A
Segmented_GiantCells_pAR308-Col-T1#14-10X-1A_Maximumintensityprojection.tif,pAR308,14,Giant,43,5732,133.302,,,1A
Segmented_GiantCells_pAR308-Col-T1#15-10X-1A_Maximumintensityprojection.tif,pAR308,15,Giant,44,6017,136.75,,,1A
Segmented_GiantCells_pAR308-Col-T1#16-10X-1A_Maximumintensityprojection.tif,pAR308,16,Giant,16,2574,160.875,,,1A
Segmented_GiantCells_pAR308-Col-T1#17-10X-1A_Maximumintensityprojection.tif,pAR308,17,Giant,40,5886,147.15,,,1A
Segmented_GiantCells_pAR308-Col-T1#18-10X-1A_Maximumintensityprojection.tif,pAR308,18,Giant,40,6514,162.85,,,1A
Segmented_GiantCells_pAR308-Col-T1#19-10X-1A_Maximumintensityprojection.tif,pAR308,19,Giant,36,6005,166.806,,,1A
Segmented_GiantCells_pAR308-Col-T1#2-10X-1A_Maximumintensityprojection.tif,pAR308,2,Giant,39,6336,162.462,,,1A
Segmented_GiantCells_pAR308-Col-T1#20-10X-1A_Maximumintensityprojection.tif,pAR308,20,Giant,13,2152,165.538,,,1A
Segmented_GiantCells_pAR308-Col-T1#21-10X-1A_Maximumintensityprojection.tif,pAR308,21,Giant,34,5506,161.941,,,1A
Segmented_GiantCells_pAR308-Col-T1#3-10X-1A_Maximumintensityprojection.tif,pAR308,3,Giant,36,4854,134.833,,,1A
Segmented_GiantCells_pAR308-Col-T1#4-10X-1A_Maximumintensityprojection.tif,pAR308,4,Giant,45,6850,152.222,,,1A
Segmented_GiantCells_pAR308-Col-T1#5-10X-1A_Maximumintensityprojection.tif,pAR308,5,Giant,44,6646,151.045,,,1A
Segmented_GiantCells_pAR308-Col-T1#6-10X-1A_Maximumintensityprojection.tif,pAR308,6,Giant,45,7860,174.667,,,1A
Segmented_GiantCells_pAR308-Col-T1#7-10X-1A_Maximumintensityprojection.tif,pAR308,7,Giant,51,6685,131.078,,,1A
Segmented_GiantCells_pAR308-Col-T1#8-10X-1A_Maximumintensityprojection.tif,pAR308,8,Giant,34,5157,151.676,,,1A
Segmented_GiantCells_pAR308-Col-T1#9-10X-1A_Maximumintensityprojection.tif,pAR308,9,Giant,51,7507,147.196,,,1A
Segmented_SmallCells_pAR308-Col-T1#1-10X-1A_Maximumintensityprojection.tif,pAR308,1,Small,971,37297,38.411,,,1A
Segmented_SmallCells_pAR308-Col-T1#10-10X-1A_Maximumintensityprojection.tif,pAR308,10,Small,1081,44767,41.413,,,1A
Segmented_SmallCells_pAR308-Col-T1#11-10X-1A_Maximumintensityprojection.tif,pAR308,11,Small,952,38210,40.137,,,1A
Segmented_SmallCells_pAR308-Col-T1#12-10X-1A_Maximumintensityprojection.tif,pAR308,12,Small,972,39016,40.14,,,1A
Segmented_SmallCells_pAR308-Col-T1#13-10X-1A_Maximumintensityprojection.tif,pAR308,13,Small,809,29212,36.109,,,1A
Segmented_SmallCells_pAR308-Col-T1#14-10X-1A_Maximumintensityprojection.tif,pAR308,14,Small,981,37330,38.053,,,1A
Segmented_SmallCells_pAR308-Col-T1#15-10X-1A_Maximumintensityprojection.tif,pAR308,15,Small,885,39036,44.108,,,1A
Segmented_SmallCells_pAR308-Col-T1#16-10X-1A_Maximumintensityprojection.tif,pAR308,16,Small,614,14608,23.792,,,1A
Segmented_SmallCells_pAR308-Col-T1#17-10X-1A_Maximumintensityprojection.tif,pAR308,17,Small,953,32446,34.046,,,1A
Segmented_SmallCells_pAR308-Col-T1#18-10X-1A_Maximumintensityprojection.tif,pAR308,18,Small,1050,37633,35.841,,,1A
Segmented_SmallCells_pAR308-Col-T1#19-10X-1A_Maximumintensityprojection.tif,pAR308,19,Small,888,37580,42.32,,,1A
Segmented_SmallCells_pAR308-Col-T1#2-10X-1A_Maximumintensityprojection.tif,pAR308,2,Small,882,32851,37.246,,,1A
Segmented_SmallCells_pAR308-Col-T1#20-10X-1A_Maximumintensityprojection.tif,pAR308,20,Small,401,12183,30.382,,,1A
Segmented_SmallCells_pAR308-Col-T1#21-10X-1A_Maximumintensityprojection.tif,pAR308,21,Small,726,23698,32.642,,,1A
Segmented_SmallCells_pAR308-Col-T1#3-10X-1A_Maximumintensityprojection.tif,pAR308,3,Small,739,27637,37.398,,,1A
Segmented_SmallCells_pAR308-Col-T1#4-10X-1A_Maximumintensityprojection.tif,pAR308,4,Small,947,39610,41.827,,,1A
Segmented_SmallCells_pAR308-Col-T1#5-10X-1A_Maximumintensityprojection.tif,pAR308,5,Small,1336,53504,40.048,,,1A
Segmented_SmallCells_pAR308-Col-T1#6-10X-1A_Maximumintensityprojection.tif,pAR308,6,Small,933,34304,36.767,,,1A
Segmented_SmallCells_pAR308-Col-T1#7-10X-1A_Maximumintensityprojection.tif,pAR308,7,Small,1817,69016,37.983,,,1A
Segmented_SmallCells_pAR308-Col-T1#8-10X-1A_Maximumintensityprojection.tif,pAR308,8,Small,796,29709,37.323,,,1A
Segmented_SmallCells_pAR308-Col-T1#9-10X-1A_Maximumintensityprojection.tif,pAR308,9,Small,1076,48546,45.117,,,1A
Segmented_GiantCells_pAR254XColF1s12PI10laser031A_Maximumintensityprojection green.tif,pAR254xCol0,31,Giant,18,3661,203.389,0.189,255,
Segmented_SmallCells_pAR254XColF1s12PI10laser031A_Maximumintensityprojection green.tif,pAR254xCol0,31,Small,381,11969,31.415,0.618,255,
Segmented_GiantCells_pAR254XColF1s12PI10laser032A_Maximumintensityprojectiongreen.tif,pAR254xCol0,32,Giant,20,3246,162.3,0.168,255,
Segmented_SmallCells_pAR254XColF1s12PI10laser032A_Maximumintensityprojectiongreen.tif,pAR254xCol0,32,Small,173,5478,31.665,0.283,255,
Segmented_GiantCells_pAR254XColF1s12PI10laser033B_Maximumintensityprojectiogreenn.tif,pAR254xCol0,33,Giant,24,3814,158.917,0.197,255,
Segmented_SmallCells_pAR254XColF1s12PI10laser033B_Maximumintensityprojectiogreenn.tif,pAR254xCol0,33,Small,171,4892,28.608,0.253,255,
Segmented_GiantCells_pAR254XColF1s12PI10laser32B_Maximumintensityprojectiongreen.tif,pAR254xCol0,32B,Giant,64,9639,150.609,0.498,255,
Segmented_SmallCells_pAR254XColF1s12PI10laser32B_Maximumintensityprojectiongreen.tif,pAR254xCol0,32B,Small,415,16284,39.239,0.841,255,
Segmented_GiantCells_pAR254XColF1s12PI10laser32C_Maximumintensityprojectiongreen.tif,pAR254xCol0,32C,Giant,62,9285,149.758,0.48,255,
Segmented_SmallCells_pAR254XColF1s12PI10laser32C_Maximumintensityprojectiongreen.tif,pAR254xCol0,32C,Small,341,14506,42.54,0.75,255,
Segmented_GiantCells_pAR254XjawF1s12PI10laser031A_Maximumintensityprojectiongreen.tif,pAR254xjaw1d,31A,Giant,5,926,185.2,0.048,255,
Segmented_SmallCells_pAR254XjawF1s12PI10laser031A_Maximumintensityprojectiongreen.tif,pAR254xjaw1d,31A,Small,21,589,28.048,0.03,255,
Segmented_GiantCells_pAR254XjawF1s12PI10laser033C_Maximumintensityprojectiongreen.tif,pAR254xjaw1d,33C,Giant,5,801,160.2,0.041,255,
Segmented_SmallCells_pAR254XjawF1s12PI10laser033C_Maximumintensityprojectiongreen.tif,pAR254xjaw1d,33C,Small,57,2237,39.246,0.116,255,
Segmented_GiantCells_pAR254XjawF1s12PI10laser102A_Maximumintensityprojectiongreen.tif,pAR254xjaw1d,102A,Giant,58,8803,151.776,0.455,255,
Segmented_SmallCells_pAR254XjawF1s12PI10laser102A_Maximumintensityprojectiongreen.tif,pAR254xjaw1d,102A,Small,142,4168,29.352,0.215,255,
Segmented_GiantCells_pAR254XjawF1s12PI10laser31AMaximumintensityprojectiongreen.tif,pAR254xjaw1d,31A,Giant,20,3521,176.05,0.182,255,
Segmented_SmallCells_pAR254XjawF1s12PI10laser31AMaximumintensityprojectiongreen.tif,pAR254xjaw1d,31A,Small,87,2515,28.908,0.13,255,
Segmented_GiantCells_pAR254XjawF1s12PI10laser32B_Maximumintensityprojectiongreen.tif,pAR254xjaw1d,32B,Giant,28,4220,150.714,0.218,255,
Segmented_SmallCells_pAR254XjawF1s12PI10laser32B_Maximumintensityprojectiongreen.tif,pAR254xjaw1d,32B,Small,174,5284,30.368,0.273,255,
Segmented_GiantCells_pAR254XjawF1s12PI10laser33B_Maximumintensityprojectiongreem.tif,pAR254xjaw1d,33B,Giant,17,2528,148.706,0.131,255,
Segmented_SmallCells_pAR254XjawF1s12PI10laser33B_Maximumintensityprojectiongreem.tif,pAR254xjaw1d,33B,Small,217,6285,28.963,0.325,255,
pAR111-jaw-1D-F1-10X-1A_Maximumintensityprojection.tif,pAR111xjaw1d,1A,Giant,8,,,,,
pAR111-jaw-1D-F1-10X-1A_Maximumintensityprojection.tif,pAR111xjaw1d,1A,Small,47,,,,,
pAR111-jaw-1D-F1-10X-1B_Maximumintensityprojection.tif,pAR111xjaw1d,1B,Giant,3,,,,,
pAR111-jaw-1D-F1-10X-1B_Maximumintensityprojection.tif,pAR111xjaw1d,1B,Small,15,,,,,
pAR111-jaw-1D-F1-10X-1C_Maximumintensityprojection.tif,pAR111xjaw1d,1C,Giant,2,,,,,
pAR111-jaw-1D-F1-10X-1C_Maximumintensityprojection.tif,pAR111xjaw1d,1C,Small,34,,,,,
pAR111-jaw-1D-F1-10X-2A_Maximumintensityprojection.tif,pAR111xjaw1d,2A,Giant,5,,,,,
pAR111-jaw-1D-F1-10X-2A_Maximumintensityprojection.tif,pAR111xjaw1d,2A,Small,40,,,,,
pAR111-jaw-1D-F1-10X-2B_Maximumintensityprojection.tif,pAR111xjaw1d,2B,Giant,8,,,,,
pAR111-jaw-1D-F1-10X-2B_Maximumintensityprojection.tif,pAR111xjaw1d,2B,Small,25,,,,,
pAR111-jaw-1D-F1-10X-2C_Maximumintensityprojection.tif,pAR111xjaw1d,2C,Giant,6,,,,,
pAR111-jaw-1D-F1-10X-2C_Maximumintensityprojection.tif,pAR111xjaw1d,2C,Small,16,,,,,
pAR111-jaw-1D-F1-10X-2D_Maximumintensityprojection.tif,pAR111xjaw1d,2D,Giant,2,,,,,
pAR111-jaw-1D-F1-10X-2D_Maximumintensityprojection.tif,pAR111xjaw1d,2D,Small,19,,,,,
pAR111-jaw-1D-F1-10X-3B_Maximumintensityprojection.tif,pAR111xjaw1d,3B,Giant,0,,,,,
pAR111-jaw-1D-F1-10X-3B_Maximumintensityprojection.tif,pAR111xjaw1d,3B,Small,37,,,,,
pAR111-jaw-1D-F1-10X-3C_Maximumintensityprojection.tif,pAR111xjaw1d,3C,Giant,2,,,,,
pAR111-jaw-1D-F1-10X-3C_Maximumintensityprojection.tif,pAR111xjaw1d,3C,Small,29,,,,,
pAR111-jaw-1D-F1-10X-3E_Maximumintensityprojection.tif,pAR111xjaw1d,3E,Giant,4,,,,,
pAR111-jaw-1D-F1-10X-3E_Maximumintensityprojection.tif,pAR111xjaw1d,3E,Small,22,,,,,
pAR111-jaw-1D-F1-10X-4A_Maximumintensityprojection.tif,pAR111xjaw1d,4A,Giant,1,,,,,
pAR111-jaw-1D-F1-10X-4A_Maximumintensityprojection.tif,pAR111xjaw1d,4A,Small,46,,,,,
pAR111-jaw-1D-F1-10X-4B_Maximumintensityprojection.tif,pAR111xjaw1d,4B,Giant,4,,,,,
pAR111-jaw-1D-F1-10X-4B_Maximumintensityprojection.tif,pAR111xjaw1d,4B,Small,29,,,,,
pAR111-jaw-1D-F1-10X-5A_Maximumintensityprojection.tif,pAR111xjaw1d,5A,Giant,5,,,,,
pAR111-jaw-1D-F1-10X-5A_Maximumintensityprojection.tif,pAR111xjaw1d,5A,Small,60,,,,,
pAR111-jaw-1D-F1-10X-5B_Maximumintensityprojection.tif,pAR111xjaw1d,5B,Giant,11,,,,,
pAR111-jaw-1D-F1-10X-5B_Maximumintensityprojection.tif,pAR111xjaw1d,5B,Small,40,,,,,
pAR111-jaw-1D-F1-10X-8A_Maximumintensityprojection.tif,pAR111xjaw1d,8A,Giant,5,,,,,
pAR111-jaw-1D-F1-10X-8A_Maximumintensityprojection.tif,pAR111xjaw1d,8A,Small,48,,,,,
pAR111-jaw-1D-F1-10X-9A_Maximumintensityprojection.tif,pAR111xjaw1d,9A,Giant,4,,,,,
pAR111-jaw-1D-F1-10X-9A_Maximumintensityprojection.tif,pAR111xjaw1d,9A,Small,35,,,,,
pAR111-Col-T3#2-T4#16XCol-F1-10-10X-1A_Maximumintensityprojection.tif,pAR111xCol0,10,Giant,9,,,,,
pAR111-Col-T3#2-T4#16XCol-F1-10-10X-1A_Maximumintensityprojection.tif,pAR111xCol0,10,Small,32,,,,,
pAR111-Col-T3#2-T4#16XCol-F1-11-10X-1A_Maximumintensityprojection.tif,pAR111xCol0,11,Giant,16,,,,,
pAR111-Col-T3#2-T4#16XCol-F1-11-10X-1A_Maximumintensityprojection.tif,pAR111xCol0,11,Small,17,,,,,
pAR111-Col-T3#2-T4#16XCol-F1-12-10X-1A_Maximumintensityprojection.tif,pAR111xCol0,12,Giant,15,,,,,
pAR111-Col-T3#2-T4#16XCol-F1-12-10X-1A_Maximumintensityprojection.tif,pAR111xCol0,12,Small,30,,,,,
pAR111-Col-T3#2-T4#16XCol-F1-13-10X-1A_oldplants-Maximumintensityprojection.tif,pAR111xCol0,13,Giant,11,,,,,
pAR111-Col-T3#2-T4#16XCol-F1-13-10X-1A_oldplants-Maximumintensityprojection.tif,pAR111xCol0,13,Small,21,,,,,
pAR111-Col-T3#2-T4#16XCol-F1-14-10X-1A_Maximumintensityprojection.tif,pAR111xCol0,14,Giant,13,,,,,
pAR111-Col-T3#2-T4#16XCol-F1-14-10X-1A_Maximumintensityprojection.tif,pAR111xCol0,14,Small,19,,,,,
pAR111-Col-T3#2-T4#16XCol-F1-15-10X-1A_Maximumintensityprojection.tif,pAR111xCol0,15,Giant,15,,,,,
pAR111-Col-T3#2-T4#16XCol-F1-15-10X-1A_Maximumintensityprojection.tif,pAR111xCol0,15,Small,43,,,,,
pAR111-Col-T3#2-T4#16XCol-F1-16-10X-1A_Maximumintensityprojection.tif,pAR111xCol0,16,Giant,17,,,,,
pAR111-Col-T3#2-T4#16XCol-F1-16-10X-1A_Maximumintensityprojection.tif,pAR111xCol0,16,Small,39,,,,,
pAR111-Col-T3#2-T4#16XCol-F1-17-10X-1A_Maximumintensityprojection.tif,pAR111xCol0,17,Giant,16,,,,,
pAR111-Col-T3#2-T4#16XCol-F1-17-10X-1A_Maximumintensityprojection.tif,pAR111xCol0,17,Small,42,,,,,
pAR111-Col-T3#2-T4#16XCol-F1-18-10X-1A-oldplants_Maximumintensityprojection.tif,pAR111xCol0,18,Giant,6,,,,,
pAR111-Col-T3#2-T4#16XCol-F1-18-10X-1A-oldplants_Maximumintensityprojection.tif,pAR111xCol0,18,Small,39,,,,,
pAR111-Col-T3#2-T4#16XCol-F1-19-10X-1A_Maximumintensityprojection.tif,pAR111xCol0,19,Giant,14,,,,,
pAR111-Col-T3#2-T4#16XCol-F1-19-10X-1A_Maximumintensityprojection.tif,pAR111xCol0,19,Small,40,,,,,
pAR111-Col-T3#2-T4#16XCol-F1-6-10X-1A_Maximumintensityprojection.tif,pAR111xCol0,6,Giant,30,,,,,
pAR111-Col-T3#2-T4#16XCol-F1-6-10X-1A_Maximumintensityprojection.tif,pAR111xCol0,6,Small,41,,,,,
pAR111-Col-T3#2-T4#16XCol-F1-7-10X-1A_Maximumintensityprojection.tif,pAR111xCol0,7,Giant,18,,,,,
pAR111-Col-T3#2-T4#16XCol-F1-7-10X-1A_Maximumintensityprojection.tif,pAR111xCol0,7,Small,83,,,,,
pAR111-Col-T3#2-T4#16XCol-F1-8-10X-1A_Maximumintensityprojection.tif,pAR111xCol0,8,Giant,29,,,,,
pAR111-Col-T3#2-T4#16XCol-F1-8-10X-1A_Maximumintensityprojection.tif,pAR111xCol0,8,Small,35,,,,,
pAR111-Col-T3#2-T4#16XCol-F1-9-10X-1A_Maximumintensityprojection.tif,pAR111xCol0,9,Giant,20,,,,,
pAR111-Col-T3#2-T4#16XCol-F1-9-10X-1A_Maximumintensityprojection.tif,pAR111xCol0,9,Small,30,,,,,
pAR111-Col-T3#2-T4#16Xjaw-1D-F1-1-10X-1A_Maximumintensityprojection.tif,pAR111xjaw1d,1 1,Giant,1,,,,,
pAR111-Col-T3#2-T4#16Xjaw-1D-F1-1-10X-1A_Maximumintensityprojection.tif,pAR111xjaw1d,1 1,Small,21,,,,,
pAR111-Col-T3#2-T4#16Xjaw-1D-F1-1-10X-2A_Maximumintensityprojection.tif,pAR111xjaw1d,1 2 ,Giant,12,,,,,
pAR111-Col-T3#2-T4#16Xjaw-1D-F1-1-10X-2A_Maximumintensityprojection.tif,pAR111xjaw1d,1 2,Small,18,,,,,
pAR111-Col-T3#2-T4#16Xjaw-1D-F1-2-10X-1A_Maximumintensityprojection.tif,pAR111xjaw1d,2 1A,Giant,10,,,,,
pAR111-Col-T3#2-T4#16Xjaw-1D-F1-2-10X-1A_Maximumintensityprojection.tif,pAR111xjaw1d,2 1A,Small,23,,,,,
pAR111-Col-T3#2-T4#16Xjaw-1D-F1-2-10X-2A_Maximumintensityprojection.tif,pAR111xjaw1d,2 2A,Giant,5,,,,,
pAR111-Col-T3#2-T4#16Xjaw-1D-F1-2-10X-2A_Maximumintensityprojection.tif,pAR111xjaw1d,2 2A,Small,17,,,,,
pAR111-Col-T3#2-T4#16Xjaw-1D-F1-3-10X-1A_Maximumintensityprojection.tif,pAR111xjaw1d,3 1A,Giant,4,,,,,
pAR111-Col-T3#2-T4#16Xjaw-1D-F1-3-10X-1A_Maximumintensityprojection.tif,pAR111xjaw1d,3 1A,Small,21,,,,,
pAR111-Col-T3#2-T4#16Xjaw-1D-F1-3-10X-2A_Maximumintensityprojection.tif,pAR111xjaw1d,3 2A,Giant,5,,,,,
pAR111-Col-T3#2-T4#16Xjaw-1D-F1-3-10X-2A_Maximumintensityprojection.tif,pAR111xjaw1d,3 2A,Small,17,,,,,
pAR111-Col-T3#2-T4#16Xjaw-1D-F1-4-10X-1B_Maximumintensityprojection.tif,pAR111xjaw1d,4 1B,Giant,13,,,,,
pAR111-Col-T3#2-T4#16Xjaw-1D-F1-4-10X-1B_Maximumintensityprojection.tif,pAR111xjaw1d,4 1B,Small,53,,,,,
pAR111-Col-T3#2-T4#16Xjaw-1D-F1-4-10X-2A_Maximumintensityprojection.tif,pAR111xjaw1d,4 2A,Giant,10,,,,,
pAR111-Col-T3#2-T4#16Xjaw-1D-F1-4-10X-2A_Maximumintensityprojection.tif,pAR111xjaw1d,4 2A,Small,24,,,,,
pAR111-Col-T3#2-T4#16Xjaw-1D-F1-5-10X-1A_Maximumintensityprojection.tif,pAR111xjaw1d,5 1A,Giant,6,,,,,
pAR111-Col-T3#2-T4#16Xjaw-1D-F1-5-10X-1A_Maximumintensityprojection.tif,pAR111xjaw1d,5 1A,Small,19,,,,,
pAR111-Col-T3#2-T4#16Xjaw-1D-F1-5-10X-2A_Maximumintensityprojection.tif,pAR111xjaw1d,5 2A,Giant,16,,,,,
pAR111-Col-T3#2-T4#16Xjaw-1D-F1-5-10X-2A_Maximumintensityprojection.tif,pAR111xjaw1d,5 2A,Small,17,,,,,
pAR111-Col-T3#2-T4#16Xjaw-1D-F1-6-10X-1A_Maximumintensityprojection.tif,pAR111xjaw1d,6 1A,Giant,1,,,,,
pAR111-Col-T3#2-T4#16Xjaw-1D-F1-6-10X-1A_Maximumintensityprojection.tif,pAR111xjaw1d,6 1A,Small,20,,,,,
pAR111-Col-T3#2-T4#16Xjaw-1D-F1-6-10X-2A_Maximumintensityprojection.tif,pAR111xjaw1d,6 2A,Giant,2,,,,,
pAR111-Col-T3#2-T4#16Xjaw-1D-F1-6-10X-2A_Maximumintensityprojection.tif,pAR111xjaw1d,6 2A,Small,7,,,,,
pAR111-Col-T3#2-T4#16Xjaw-1D-F1-6-10X-3A_Maximumintensityprojection.tif,pAR111xjaw1d,6 3A,Giant,6,,,,,
pAR111-Col-T3#2-T4#16Xjaw-1D-F1-6-10X-3A_Maximumintensityprojection.tif,pAR111xjaw1d,6 3A,Small,7,,,,,
pAR111-Col-T3#2-T4#16Xjaw-1D-F1-6-10X-4A_Maximumintensityprojection.tif,pAR111xjaw1d,6 4A,Giant,0,,,,,
pAR111-Col-T3#2-T4#16Xjaw-1D-F1-6-10X-4A_Maximumintensityprojection.tif,pAR111xjaw1d,6 4A,Small,13,,,,,
pAR111-Col-T3#2-T4#16Xjaw-1D-F1-7-10X-1A_Maximumintensityprojection.tif,pAR111xjaw1d,7 1A,Giant,3,,,,,
pAR111-Col-T3#2-T4#16Xjaw-1D-F1-7-10X-1A_Maximumintensityprojection.tif,pAR111xjaw1d,7 1A,Small,22,,,,,
pAR111-Col-T3#2-T4#16Xjaw-1D-F1-7-10X-2A_Maximumintensityprojection.tif,pAR111xjaw1d,7 2A,Giant,2,,,,,
