Name    Cell_number Total_area  Avg_area
Segmented_GiantCells_pBR65-Col-T1#16-10X-20x_Maximum intensity projection.tif	1	152	152.000	0.008	255
Segmented_GiantCells_pBR65-Col-T1#18-10X-180x_Maximum intensity projection.tif	6	841	140.167	0.043	255
Segmented_GiantCells_pBR65-Col-T1#19-10X-200x_Maximum intensity projection.tif	2	202	101.000	0.010	255
Segmented_GiantCells_pBR65-Col-T1#2-10X-350x_Maximum intensity projection.tif	5	696	139.200	0.036	255
Segmented_GiantCells_pBR65-Col-T1#3-10X-240x_Maximum intensity projection.tif	5	650	130.000	0.022	255
Segmented_GiantCells_pBR65-Col-T1#4-10X-28x_Maximum intensity projection.tif	8	1178	147.250	0.061	255
Segmented_GiantCells_pBR65-Col-T1#5-10X-40x_Maximum intensity projection.tif	8	1129	141.125	0.058	255
Segmented_GiantCells_pBR65-Col-T1#6-10X-90x_Maximum intensity projection.tif	2	278	139.000	0.014	255
Segmented_GiantCells_pBR65-Col-T1#8-10X-400x_Maximum intensity projection.tif	3	361	120.333	0.019	255
Segmented_SmallCells_pBR65-Col-T1#1-10X-350x_Maximum intensity projection.tif	18	184	10.222	0.010	255
Segmented_SmallCells_pBR65-Col-T1#10-10X-100x_Maximum intensity projection.tif	74	1023	13.824	0.053	255
Segmented_SmallCells_pBR65-Col-T1#11-10X-404x_Maximum intensity projection.tif	17	332	19.529	0.017	255
Segmented_SmallCells_pBR65-Col-T1#12-10X-160x_Maximum intensity projection.tif	83	925	11.145	0.048	255
Segmented_SmallCells_pBR65-Col-T1#15-10X-400x_Maximum intensity projection.tif	22	329	14.955	0.017	255
Segmented_SmallCells_pBR65-Col-T1#16-10X-20x_Maximum intensity projection.tif	12	377	31.417	0.019	255
Segmented_SmallCells_pBR65-Col-T1#18-10X-180x_Maximum intensity projection.tif	30	404	13.467	0.021	255
Segmented_SmallCells_pBR65-Col-T1#19-10X-200x_Maximum intensity projection.tif	36	338	9.389	0.017	255
Segmented_SmallCells_pBR65-Col-T1#2-10X-350x_Maximum intensity projection.tif	90	1261	14.011	0.065	255
Segmented_SmallCells_pBR65-Col-T1#3-10X-240x_Maximum intensity projection.tif	32	494	15.438	0.017	255
Segmented_SmallCells_pBR65-Col-T1#4-10X-28x_Maximum intensity projection.tif	45	1248	27.733	0.065	255
Segmented_SmallCells_pBR65-Col-T1#5-10X-40x_Maximum intensity projection.tif	151	3069	20.325	0.159	255
Segmented_SmallCells_pBR65-Col-T1#6-10X-90x_Maximum intensity projection.tif	84	977	11.631	0.050	255
Segmented_SmallCells_pBR65-Col-T1#8-10X-400x_Maximum intensity projection.tif	39	489	12.538	0.025	255
Segmented_GiantCells_pBR65-Col-T1#13-10X-200x_Maximum intensity projection.tif	2	306	153.000	0.016	255
Segmented_GiantCells_pBR65-Col-T1#14-10X-260x_Maximum intensity projection.tif	8	744	93.000	0.038	255
Segmented_GiantCells_pBR65-Col-T1#17-10X-300x_Maximum intensity projection.tif	5	497	99.400	0.017	255
Segmented_GiantCells_pBR65-Col-T1#20-10X-300x_Maximum intensity projection.tif	7	686	98.000	0.035	255
Segmented_GiantCells_pBR65-Col-T1#7-10X-400x_Maximum intensity projection.tif	3	283	94.333	0.010	255
Segmented_GiantCells_pBR65-Col-T1#9-10X-400x_Maximum intensity projection.tif	2	185	92.500	0.010	255
Segmented_SmallCells_pBR65-Col-T1#13-10X-200x_Maximum intensity projection.tif	33	415	12.576	0.021	255
Segmented_SmallCells_pBR65-Col-T1#14-10X-260x_Maximum intensity projection.tif	74	992	13.405	0.051	255
Segmented_SmallCells_pBR65-Col-T1#17-10X-300x_Maximum intensity projection.tif	32	384	12.000	0.013	255
Segmented_SmallCells_pBR65-Col-T1#20-10X-300x_Maximum intensity projection.tif	24	350	14.583	0.018	255
Segmented_SmallCells_pBR65-Col-T1#7-10X-400x_Maximum intensity projection.tif	17	128	7.529	0.004	255
Segmented_SmallCells_pBR65-Col-T1#9-10X-400x_Maximum intensity projection.tif	3	62	20.667	0.003	255
Segmented_GiantCells_pBR63-Col-T1#1-10X-400x_Maximum intensity projection.tif	1	149	149.000	0.005	255
Segmented_GiantCells_pBR63-Col-T1#14-10X-240x_Maximum intensity projection.tif	1	106	106.000	0.005	255
Segmented_GiantCells_pBR63-Col-T1#15-10X-400x_Maximum intensity projection.tif	5	419	83.800	0.014	255
Segmented_GiantCells_pBR63-Col-T1#16-10X-400x_Maximum intensity projection.tif	3	225	75.000	0.012	255
Segmented_GiantCells_pBR63-Col-T1#18-10X-400x_Maximum intensity projection.tif	0	0	NaN	0.000	NaN
Segmented_GiantCells_pBR63-Col-T1#3-10X-400x_Maximum intensity projection.tif	1	183	183.000	0.009	255
Segmented_GiantCells_pBR63-Col-T1#4-10X-400x_Maximum intensity projection.tif	0	0	NaN	0.000	NaN
Segmented_GiantCells_pBR63-Col-T1#6-10X-400x_Maximum intensity projection.tif	0	0	NaN	0.000	NaN
Segmented_GiantCells_pBR63-Col-T1#7-10X-400x_Maximum intensity projection.tif	0	0	NaN	0.000	NaN
Segmented_SmallCells_pBR63-Col-T1#1-10X-400x_Maximum intensity projection.tif	14	147	10.500	0.005	255
Segmented_SmallCells_pBR63-Col-T1#14-10X-240x_Maximum intensity projection.tif	20	310	15.500	0.016	255
Segmented_SmallCells_pBR63-Col-T1#15-10X-400x_Maximum intensity projection.tif	23	417	18.130	0.014	255
Segmented_SmallCells_pBR63-Col-T1#16-10X-400x_Maximum intensity projection.tif	13	176	13.538	0.009	255
Segmented_SmallCells_pBR63-Col-T1#18-10X-400x_Maximum intensity projection.tif	24	323	13.458	0.011	255
Segmented_SmallCells_pBR63-Col-T1#3-10X-400x_Maximum intensity projection.tif	15	300	20.000	0.016	255
Segmented_SmallCells_pBR63-Col-T1#4-10X-400x_Maximum intensity projection.tif	19	246	12.947	0.008	255
Segmented_SmallCells_pBR63-Col-T1#6-10X-400x_Maximum intensity projection.tif	13	161	12.385	0.008	255
Segmented_SmallCells_pBR63-Col-T1#7-10X-400x_Maximum intensity projection.tif	10	214	21.400	0.011	255
Segmented_GiantCells_pBR63-Col-T1#10-10X-400x_Maximum intensity projection.tif	1	83	83.000	0.003	255
Segmented_GiantCells_pBR63-Col-T1#11-10X-400x_Maximum intensity projection.tif	0	0	NaN	0.000	NaN
Segmented_GiantCells_pBR63-Col-T1#12-10X-400x_Maximum intensity projection.tif	3	252	84.000	0.013	255
Segmented_GiantCells_pBR63-Col-T1#13-10X-400x_Maximum intensity projection.tif	1	158	158.000	0.005	255
Segmented_GiantCells_pBR63-Col-T1#17-10X-400x_Maximum intensity projection.tif	2	109	54.500	0.004	255
Segmented_GiantCells_pBR63-Col-T1#19-10X-400x_Maximum intensity projection.tif	0	0	NaN	0.000	NaN
Segmented_GiantCells_pBR63-Col-T1#2-10X-400x_Maximum intensity projection.tif	0	0	NaN	0.000	NaN
Segmented_GiantCells_pBR63-Col-T1#20-10X-400x_Maximum intensity projection.tif	1	81	81.000	0.004	255
