Image_name,Genotype,Plant_number,Cell_type,Count,Total_area,Avg_area,Percent_area,Mean_intensity,Integrated_density,Script_Version
Segmented_SmallCells_pAR254xCol0-col-F1#8-10x-s1i1_Maximumintensityprojection.tif,pAR254xCol0,8,Small,1052,43568,41.414,1.385,31.664,1474.282,4
Segmented_SmallCells_pAR254xCol0-col-F1#8-10x-s2i1_Maximumintensityprojection.tif,pAR254xCol0,8,Small,1005,42451,42.24,1.349,31.552,1522.985,4
Segmented_SmallCells_pAR254xCol0-col-F1#9-10x-s1i2_Maximumintensityprojection.tif,pAR254xCol0,9,Small,709,29287,41.307,1.397,31.996,1529.419,4
Segmented_SmallCells_pAR254xCol0-col-F1#9-10x-s2i1_Maximumintensityprojection.tif,pAR254xCol0,9,Small,687,25422,37.004,1.212,27.564,1190.565,4
Segmented_SmallCells_pAR254xCol0-col-F1#9-10x-s3i1_Maximumintensityprojection.tif,pAR254xCol0,9,Small,847,35011,41.335,1.67,31.831,1531.665,4
Segmented_SmallCells_pAR254xCol0-col-F1#9-10x-s4i1_Maximumintensityprojection.tif,pAR254xCol0,9,Small,787,31438,39.947,1.5,30.216,1381.944,4
Segmented_SmallCells_pAR254xCol0-col-F1#9-10x-s5i1_Maximumintensityprojection.tif,pAR254xCol0,9,Small,827,29877,36.127,1.425,26.285,1077.148,4
Segmented_SmallCells_pAR254xCol0-col-F1#9-10x-s6i1_Maximumintensityprojection.tif,pAR254xCol0,9,Small,849,31994,37.684,1.526,28.156,1229.232,4
Segmented_SmallCells_pAR254xatml14-col-F1#1-10x-s1i1_Maximumintensityprojection.tif,pAR254xatml14,1,Small,550,16681,30.329,0.796,21.835,751.653,4
Segmented_SmallCells_pAR254xatml14-col-F1#1-10x-s2i1_Maximumintensityprojection.tif,pAR254xatml14,1,Small,478,13732,28.728,0.655,21.249,702.351,4
Segmented_SmallCells_pAR254xatml14-col-F1#10-10x-s1i1_Maximumintensityprojection.tif,pAR254xatml14,10,Small,700,26206,37.437,1.25,28.293,1240.011,4
Segmented_SmallCells_pAR254xatml14-col-F1#10-10x-s2i1_Maximumintensityprojection.tif,pAR254xatml14,10,Small,732,30625,41.837,1.46,31.279,1529.91,4
Segmented_SmallCells_pAR254xatml14-col-F1#12-10x-s1i1_Maximumintensityprojection.tif,pAR254xatml14,12,Small,773,29023,37.546,1.385,26.519,1106.602,4
Segmented_SmallCells_pAR254xatml14-col-F1#12-10x-s2i1_Maximumintensityprojection.tif,pAR254xatml14,12,Small,735,26352,35.853,1.257,24.996,1017.027,4
Segmented_SmallCells_pAR254xatml14-col-F1#2-10x-s1i1_Maximumintensityprojection.tif,pAR254xatml14,2,Small,593,18405,31.037,0.878,22.692,787.723,4
Segmented_SmallCells_pAR254xatml14-col-F1#2-10x-s2i1_Maximumintensityprojection.tif,pAR254xatml14,2,Small,625,21546,34.474,1.028,23.535,936.246,4
Segmented_SmallCells_pAR254xatml14-col-F1#4-10x-s1i1_Maximumintensityprojection.tif,pAR254xatml14,4,Small,419,12872,30.721,0.614,23.508,826.897,4
Segmented_SmallCells_pAR254xatml14-col-F1#4-10x-s2i1_Maximumintensityprojection.tif,pAR254xatml14,4,Small,615,19889,32.34,0.948,23.686,876.216,4
Segmented_SmallCells_pAR254xatml14-col-F1#5-10x-s1i1_Maximumintensityprojection.tif,pAR254xatml14,5,Small,791,27278,34.485,1.301,23.681,929.886,4
Segmented_SmallCells_pAR254xatml14-col-F1#5-10x-s2i1_Maximumintensityprojection.tif,pAR254xatml14,5,Small,745,25551,34.297,1.219,24.372,953.893,4
Segmented_SmallCells_pAR254xatml14-col-F1#6-10x-s1i1_Maximumintensityprojection.tif,pAR254xatml14,6,Small,533,16381,30.734,0.781,23.733,828.259,4
Segmented_SmallCells_pAR254xatml14-col-F1#6-10x-s2i1_Maximumintensityprojection.tif,pAR254xatml14,6,Small,446,13291,29.8,0.634,23.138,794.807,4
Segmented_SmallCells_pAR254xatml14-col-F1#7-10x-s1i1_Maximumintensityprojection.tif,pAR254xatml14,7,Small,738,30283,41.034,1.445,30.744,1461.233,4
Segmented_SmallCells_pAR254xatml14-col-F1#7-10x-s2i1_Maximumintensityprojection.tif,pAR254xatml14,7,Small,625,23565,37.704,1.124,29.099,1274.037,4
Segmented_SmallCells_pAR254xatml14-col-F1#8-10x-s1i1_Maximumintensityprojection.tif,pAR254xatml14,8,Small,835,33678,40.333,1.607,30.072,1398.265,4
Segmented_SmallCells_pAR254xatml14-col-F1#8-10x-s2i1_Maximumintensityprojection.tif,pAR254xatml14,8,Small,813,31295,38.493,1.492,29.53,1327.311,4
Segmented_SmallCells_pAR254xatml14-col-F1#9-10x-s1i1_Maximumintensityprojection.tif,pAR254xatml14,9,Small,676,28757,42.54,1.371,33.479,1612.374,4
Segmented_SmallCells_pAR254xatml14-col-F1#9-10x-s2i1_Maximumintensityprojection.tif,pAR254xatml14,9,Small,728,27972,38.423,1.334,30.656,1352.67,4
Segmented_SmallCells_pAR254xPDFflagATML1ox-col-F1#1-10x-s1i1_Maximumintensityprojection.tif,pAR254xPDFflagATML1ox,1,Small,399,16857,42.248,0.804,31.712,1545.506,4
Segmented_SmallCells_pAR254xPDFflagATML1ox-col-F1#1-10x-s2i1_Maximumintensityprojection.tif,pAR254xPDFflagATML1ox,1,Small,449,17466,38.9,0.833,29.825,1360.045,4
Segmented_SmallCells_pAR254xPDFflagATML1ox-col-F1#1-10x-s3i1_Maximumintensityprojection.tif,pAR254xPDFflagATML1ox,1,Small,377,13010,34.509,0.62,27.422,1087.231,4
Segmented_SmallCells_pAR254xPDFflagATML1ox-col-F1#1-10x-s4i1_Maximumintensityprojection.tif,pAR254xPDFflagATML1ox,1,Small,355,13547,38.161,0.646,30.125,1306.927,4
Segmented_SmallCells_pAR254xPDFflagATML1ox-col-F1#10-10x-s1i1_Maximumintensityprojection.tif,pAR254xPDFflagATML1ox,10,Small,325,10123,31.148,0.322,23.894,832.086,4
Segmented_SmallCells_pAR254xPDFflagATML1ox-col-F1#10-10x-s2i1_Maximumintensityprojection.tif,pAR254xPDFflagATML1ox,10,Small,242,8125,33.574,0.387,26.86,1006.14,4
